time_of_day,weather,scene,sharpness_ratio,edge_density_ratio,hf_energy_ratio,ringing_ratio,local_contrast_ratio,deploy_minus_bicubic_luma_mean,deploy_bicubic_lowfreq_luma_mae,deploy_bicubic_chroma_mae,bicubic_niqe,deploy_niqe,deploy_minus_bicubic_niqe,bicubic_brisque,deploy_brisque,deploy_minus_bicubic_brisque,bicubic_piqe,deploy_piqe,deploy_minus_bicubic_piqe,risk_score
afternoon,sunny,building,3.0637468764759226,1.6988656071824377,1.000603478300721,1.3140031494168858,0.9911356073012108,0.20834120362997055,0.2778901755809784,0.5263461619615555,8.518039073695341,8.419450590236892,-0.09858848345844873,67.99629211425781,40.69541931152344,-27.300872802734375,83.48741149902344,54.60196018218994,-28.885451316833496,1.75
afternoon,sunny,mixed,2.1676714802666464,1.5137366856070007,0.8945167185273387,1.0150766966320663,0.9389852069201288,0.4114219844341278,0.42879723012447357,0.7315582931041718,8.772565633831096,7.774242449090397,-0.9983231847406993,63.922821044921875,45.94073486328125,-17.982086181640625,82.7050952911377,65.99875259399414,-16.706342697143555,1.25
afternoon,sunny,road_shaded,2.5376117796751023,1.5225416528083136,1.034106815302171,1.1734057223056342,1.0153537433775794,0.35265082493424416,0.6102900356054306,0.8681560307741165,8.413829786024005,7.479543395488072,-0.9342863905359324,64.86962890625,55.21174621582031,-9.657882690429688,82.2837085723877,70.43424320220947,-11.849465370178223,2.0
morning,cloudy,building,2.790537185111729,1.5596209912536445,1.009361222203642,1.0946942489756954,0.9826045833793284,0.23398573324084282,0.28389228880405426,0.5031011253595352,8.893946128942085,8.553389396193014,-0.3405567327490715,66.4127197265625,42.95006561279297,-23.46265411376953,70.81743621826172,52.817378520965576,-18.000057697296143,1.5
morning,cloudy,mixed,2.0109127229879733,3.3449058898812565,0.8491374262771991,1.1509041457778542,0.9563621887926381,0.4031214714050293,0.4302486926317215,0.6939161568880081,8.89600630876241,7.801865756858303,-1.094140551904105,66.92095947265625,54.03253173828125,-12.888427734375,80.7415599822998,70.51579570770264,-10.225764274597168,1.0
morning,cloudy,road_shaded,2.5090934960571882,1.4265556993358801,1.0147836472115719,1.054016921422722,1.0114330584537243,0.34031493961811066,0.48352503776550293,0.7473304495215416,8.495363544491065,7.9155363861471235,-0.5798271583439414,66.02758026123047,50.87939453125,-15.148185729980469,82.15864753723145,68.53313064575195,-13.625516891479492,2.0
morning,sunny,building,3.6075085749826137,1.3219159008632695,1.1308060297618396,1.2649785966843226,1.0071832179462576,0.21268961764872074,0.28768274560570717,0.5516308546066284,9.082615919260828,8.519624347338114,-0.5629915719227139,69.4374008178711,39.733070373535156,-29.704330444335938,78.58474826812744,52.38693046569824,-26.1978178024292,1.5
morning,sunny,dark,2.1683051009491843,3.1376180101670297,1.0024001554275024,0.8971229242054174,1.0272241320053244,-0.6775824725627899,0.6790174543857574,1.1497232913970947,8.79900888424061,8.907038183290759,0.10802929905014835,65.24813842773438,45.012115478515625,-20.23602294921875,83.82677841186523,52.30327606201172,-31.523502349853516,1.0
morning,sunny,flat,0.9595834542807437,1.7033384694401643,0.4204222439284689,0.5657830870945071,0.4668001086353444,0.6677747964859009,0.6689429134130478,0.6856734156608582,10.069421897522645,8.549108719440632,-1.5203131780820143,71.67858123779297,55.62553405761719,-16.05304718017578,76.10039710998535,58.627469062805176,-17.472928047180176,0.25
morning,sunny,mixed,1.2126994323693183,2.9277271192164807,0.46642530630627865,0.5682960983536597,0.6257015874987071,0.42998427152633667,0.445119671523571,0.41725708544254303,8.999347797841084,8.457175772803348,-0.5421720250377358,68.85609436035156,51.54010009765625,-17.315994262695312,74.17741966247559,53.48656749725342,-20.690852165222168,0.25
morning,sunny,road_shaded,2.5268713371924845,1.350900404007416,1.0455733668134324,1.1525144769029498,1.0244616403844422,0.3029332235455513,0.5028790757060051,0.7920699045062065,8.473775558928612,8.018862523226582,-0.45491303570202923,67.09620666503906,52.42388916015625,-14.672317504882812,81.35092163085938,66.21289825439453,-15.138023376464844,2.0
