relative_path,time_of_day,weather,scene,zoom,input_width,input_height,crop_width,crop_height,output_width,output_height,crop_path,bicubic_path,deploy_path,comparison_path,bicubic_sharpness_laplacian_var,bicubic_tenengrad,bicubic_edge_density,bicubic_hf_energy,bicubic_ringing_proxy,bicubic_local_contrast,bicubic_luma_mean,bicubic_luma_std,bicubic_saturation_mean,deploy_sharpness_laplacian_var,deploy_tenengrad,deploy_edge_density,deploy_hf_energy,deploy_ringing_proxy,deploy_local_contrast,deploy_luma_mean,deploy_luma_std,deploy_saturation_mean,deploy_minus_bicubic_luma_mean,deploy_bicubic_lowfreq_luma_mae,deploy_bicubic_chroma_mae,deploy_bicubic_rgb_mae,deploy_bicubic_diff_p95,bicubic_niqe,bicubic_brisque,bicubic_piqe,deploy_niqe,deploy_brisque,deploy_piqe,deploy_minus_bicubic_niqe,deploy_minus_bicubic_brisque,deploy_minus_bicubic_piqe,sharpness_ratio,edge_density_ratio,hf_energy_ratio,ringing_ratio,local_contrast_ratio,failure_labels,risk_score
afternoon/sunny/building/1x/frame_3825.png,afternoon,sunny,building,1x,1920,1080,320,180,1280,720,input_crop_320x180/afternoon/sunny/building/1x/frame_3825.png,bicubic/afternoon/sunny/building/1x/frame_3825.png,pred_deploy_gpu/afternoon/sunny/building/1x/frame_3825.png,afternoon/sunny/building/1x/frame_3825.compare.jpg,4.746818542480469,1322.410888671875,0.010221354166666667,2.751370429992676,11.213714599609375,15.481367111206055,100.20254516601562,56.59909439086914,30.03945541381836,18.861289978027344,2400.232177734375,0.02148871527777778,3.493532657623291,14.481551170349121,16.840862274169922,100.41378784179688,57.72348403930664,31.905256271362305,0.21127279102802277,0.299299418926239,0.6419357657432556,2.799184799194336,13.0,8.107159688858292,65.06353759765625,83.72607421875,7.366329740807508,40.80145263671875,71.0666275024414,-0.7408299480507843,-24.2620849609375,-12.659446716308594,3.97345923574557,2.102335456475584,1.2697427505726995,1.2914142804074558,1.0878149295988084,noise_or_false_texture_amplification;edge_oversharpening_or_ringing;large_local_deviation_from_bicubic,3
afternoon/sunny/building/3x/frame_3925.png,afternoon,sunny,building,3x,1920,1080,320,180,1280,720,input_crop_320x180/afternoon/sunny/building/3x/frame_3925.png,bicubic/afternoon/sunny/building/3x/frame_3925.png,pred_deploy_gpu/afternoon/sunny/building/3x/frame_3925.png,afternoon/sunny/building/3x/frame_3925.compare.jpg,2.8273072242736816,707.1381225585938,0.004194878472222222,1.487217664718628,14.129830360412598,8.857439994812012,72.21888732910156,47.90316390991211,48.84046173095703,11.21652889251709,1186.8134765625,0.005434027777777778,1.715266466140747,18.885818481445312,9.10810375213623,72.41668701171875,48.491294860839844,51.14686584472656,0.19779188930988312,0.256563663482666,0.5093153119087219,1.6024471521377563,5.0,8.474167015529803,71.18099975585938,89.95066833496094,8.29789597405381,39.3516845703125,60.11813735961914,-0.17627104147599226,-31.829315185546875,-29.832530975341797,3.9672126170860507,1.2953957578892914,1.153339223189811,1.3365920184263158,1.0282997973986883,noise_or_false_texture_amplification;edge_oversharpening_or_ringing,2
afternoon/sunny/building/5x/frame_4025.png,afternoon,sunny,building,5x,1920,1080,320,180,1280,720,input_crop_320x180/afternoon/sunny/building/5x/frame_4025.png,bicubic/afternoon/sunny/building/5x/frame_4025.png,pred_deploy_gpu/afternoon/sunny/building/5x/frame_4025.png,afternoon/sunny/building/5x/frame_4025.compare.jpg,1.7515875101089478,150.99844360351562,0.0,0.8415881395339966,0.0,5.461028575897217,72.04141235351562,48.9625244140625,48.27202224731445,4.007308483123779,144.35577392578125,0.0008355034722222222,0.7156410217285156,6.387752532958984,5.177234172821045,72.23084259033203,49.194278717041016,49.868350982666016,0.1894596368074417,0.25363218784332275,0.5214377045631409,1.1164019107818604,4.0,9.006084177202816,67.42428588867188,89.76313018798828,9.087964654401032,40.6304931640625,42.27881622314453,0.0818804771982169,-26.793792724609375,-47.48431396484375,2.287815173376366,,0.8503458973706304,,0.9480327928828781,edge_oversharpening_or_ringing,1
afternoon/sunny/building/7x/frame_4175.png,afternoon,sunny,building,7x,1920,1080,320,180,1280,720,input_crop_320x180/afternoon/sunny/building/7x/frame_4175.png,bicubic/afternoon/sunny/building/7x/frame_4175.png,pred_deploy_gpu/afternoon/sunny/building/7x/frame_4175.png,afternoon/sunny/building/7x/frame_4175.compare.jpg,1.788403868675232,112.52882385253906,0.0,0.8885099291801453,0.0,4.6251749992370605,77.9703140258789,45.37625503540039,39.76657485961914,3.6242012977600098,81.57466888427734,6.401909722222223e-05,0.6477113366127014,5.509054660797119,4.164484024047852,78.20508575439453,45.58195877075195,41.437156677246094,0.2348404973745346,0.3020654320716858,0.4326958656311035,1.077763319015503,3.0,8.484745413190454,68.31634521484375,70.50977325439453,8.92561199168522,41.998046875,44.94425964355469,0.44086657849476474,-26.31829833984375,-25.565513610839844,2.0265004796957036,,0.7289860420697426,,0.9003949093244684,edge_oversharpening_or_ringing,1
afternoon/sunny/mixed/1x/frame_0125.png,afternoon,sunny,mixed,1x,1920,1080,320,180,1280,720,input_crop_320x180/afternoon/sunny/mixed/1x/frame_0125.png,bicubic/afternoon/sunny/mixed/1x/frame_0125.png,pred_deploy_gpu/afternoon/sunny/mixed/1x/frame_0125.png,afternoon/sunny/mixed/1x/frame_0125.compare.jpg,26.069883346557617,6640.5361328125,0.04398980034722222,6.55163049697876,19.56351661682129,23.976669311523438,109.96558380126953,56.93635177612305,55.738555908203125,78.85100555419922,9753.4541015625,0.046845703125,7.897373199462891,23.389999389648438,25.88568115234375,110.5108642578125,59.544166564941406,56.596290588378906,0.5452734231948853,0.5895382165908813,0.9269059300422668,4.172636985778809,18.0,7.765281851887636,58.21026611328125,88.66696166992188,6.753292396818495,35.9405517578125,77.90281677246094,-1.0119894550691413,-22.26971435546875,-10.764144897460938,3.0246013956411146,1.0649219308847833,1.2054057693126483,1.1955927887492899,1.0796195591646593,noise_or_false_texture_amplification;edge_oversharpening_or_ringing;large_local_deviation_from_bicubic,3
afternoon/sunny/mixed/3x/frame_0275.png,afternoon,sunny,mixed,3x,1920,1080,320,180,1280,720,input_crop_320x180/afternoon/sunny/mixed/3x/frame_0275.png,bicubic/afternoon/sunny/mixed/3x/frame_0275.png,pred_deploy_gpu/afternoon/sunny/mixed/3x/frame_0275.png,afternoon/sunny/mixed/3x/frame_0275.compare.jpg,3.1571297645568848,544.5264282226562,0.00263671875,1.6114367246627808,14.116236686706543,7.168095111846924,76.92361450195312,23.63495635986328,76.66060638427734,9.128451347351074,804.3048706054688,0.005174696180555555,1.6178815364837646,14.112302780151367,7.032009124755859,77.20130157470703,24.23764419555664,77.75515747070312,0.27767252922058105,0.2939138114452362,0.5683387517929077,1.583325743675232,5.0,9.051364414123386,65.58770751953125,89.78152465820312,7.914282660830587,40.29412841796875,59.76055908203125,-1.137081753292799,-25.2935791015625,-30.020965576171875,2.8913766706172392,1.962551440329218,1.0039994197242417,0.999721320445209,0.9810150416578386,edge_oversharpening_or_ringing,1
afternoon/sunny/mixed/5x/frame_0425.png,afternoon,sunny,mixed,5x,1920,1080,320,180,1280,720,input_crop_320x180/afternoon/sunny/mixed/5x/frame_0425.png,bicubic/afternoon/sunny/mixed/5x/frame_0425.png,pred_deploy_gpu/afternoon/sunny/mixed/5x/frame_0425.png,afternoon/sunny/mixed/5x/frame_0425.compare.jpg,5.682464599609375,812.5938720703125,0.001091579861111111,3.5287606716156006,6.771162986755371,9.950133323669434,106.80377960205078,14.420230865478516,73.43960571289062,7.1620941162109375,491.0826416015625,0.006693793402777778,2.1846694946289062,6.647211074829102,7.9196457862854,107.09101867675781,13.561326026916504,75.2031478881836,0.28724610805511475,0.29538533091545105,0.7547845840454102,3.162487745285034,9.0,9.238352613589925,67.9310302734375,80.39508056640625,8.127672095540913,54.6553955078125,62.91307830810547,-1.110680518049012,-13.275634765625,-17.48200225830078,1.2603851710230232,,0.6191039001884708,0.9816941473468113,0.7959336351248784,no_strong_failure_signal,0
afternoon/sunny/mixed/7x/frame_0575.png,afternoon,sunny,mixed,7x,1920,1080,320,180,1280,720,input_crop_320x180/afternoon/sunny/mixed/7x/frame_0575.png,bicubic/afternoon/sunny/mixed/7x/frame_0575.png,pred_deploy_gpu/afternoon/sunny/mixed/7x/frame_0575.png,afternoon/sunny/mixed/7x/frame_0575.compare.jpg,4.639307498931885,698.3985595703125,0.0011414930555555555,3.071380853652954,7.885324478149414,10.037616729736328,141.8102569580078,16.254810333251953,25.2182674407959,6.93262243270874,588.0811157226562,0.007825520833333334,2.3021774291992188,6.965095520019531,9.027557373046875,142.34573364257812,16.083805084228516,26.47417449951172,0.5354958772659302,0.5363515615463257,0.6762039065361023,2.4802541732788086,7.0,9.035263655723439,63.9622802734375,71.97681427001953,8.301722643171594,52.87286376953125,63.418556213378906,-0.7335410125518447,-11.08941650390625,-8.558258056640625,1.494322683785209,,0.7495577848839939,0.8832985299869551,0.8993725917331389,edge_oversharpening_or_ringing,1
afternoon/sunny/road_shaded/1x/frame_1725.png,afternoon,sunny,road_shaded,1x,1920,1080,320,180,1280,720,input_crop_320x180/afternoon/sunny/road_shaded/1x/frame_1725.png,bicubic/afternoon/sunny/road_shaded/1x/frame_1725.png,pred_deploy_gpu/afternoon/sunny/road_shaded/1x/frame_1725.png,afternoon/sunny/road_shaded/1x/frame_1725.compare.jpg,26.549724578857422,6820.63525390625,0.05942274305555555,7.882426738739014,14.549256324768066,31.979612350463867,114.38409423828125,71.80596160888672,58.73360824584961,72.6213150024414,10394.1005859375,0.07775390625,9.82469654083252,16.47088623046875,35.29758071899414,114.56462097167969,74.51972198486328,61.01848220825195,0.18051216006278992,0.6385846734046936,1.2076892852783203,5.226934909820557,18.0,7.7885478937183015,64.7945556640625,85.41533660888672,6.801295255426174,56.596923828125,77.08832550048828,-0.9872526382921274,-8.1976318359375,-8.327011108398438,2.735294476850151,1.308487327441385,1.2464050560150488,1.1320775346042518,1.1037526137643174,noise_or_false_texture_amplification;edge_oversharpening_or_ringing;large_local_deviation_from_bicubic,3
afternoon/sunny/road_shaded/3x/frame_2925.png,afternoon,sunny,road_shaded,3x,1920,1080,320,180,1280,720,input_crop_320x180/afternoon/sunny/road_shaded/3x/frame_2925.png,bicubic/afternoon/sunny/road_shaded/3x/frame_2925.png,pred_deploy_gpu/afternoon/sunny/road_shaded/3x/frame_2925.png,afternoon/sunny/road_shaded/3x/frame_2925.compare.jpg,6.435179233551025,1403.8487548828125,0.012463107638888889,3.1485323905944824,12.486066818237305,13.549786567687988,158.4422149658203,32.65934371948242,5.929060459136963,19.124774932861328,2139.14111328125,0.013955078125,2.840756893157959,14.698147773742676,13.048218727111816,159.19810485839844,33.92216491699219,6.256535530090332,0.7558170557022095,0.7577880620956421,0.531287431716919,3.032965898513794,11.0,8.644224910576398,69.53564453125,80.30343627929688,8.264587897866454,54.208984375,65.00421142578125,-0.379637012709944,-15.32666015625,-15.299224853515625,2.9719102201770378,1.1197109524638689,0.9022479494395763,1.1771639530451958,0.9629833401381942,edge_oversharpening_or_ringing,1
