zoom,sharpness_ratio,edge_density_ratio,hf_energy_ratio,ringing_ratio,local_contrast_ratio,deploy_minus_bicubic_luma_mean,deploy_bicubic_lowfreq_luma_mae,deploy_bicubic_chroma_mae,bicubic_niqe,deploy_niqe,deploy_minus_bicubic_niqe,bicubic_brisque,deploy_brisque,deploy_minus_bicubic_brisque,bicubic_piqe,deploy_piqe,deploy_minus_bicubic_piqe,risk_score
1x,2.8152188979910924,1.8302218535073835,1.1114579842786545,1.1180048458498129,1.04224549082698,0.21286882866512646,0.4831754809076136,0.8660209341482683,8.53131522912196,7.491216105368997,-1.0400991237529622,65.37119085138494,48.04981023615057,-17.321380615234375,83.90607660466975,73.0730244029652,-10.833052201704545,2.272727272727273
3x,2.6268010734383926,1.8205588499817675,0.8870522144483933,1.0157245709750824,0.8832143981098108,0.46050662323832514,0.4819501623511314,0.519701498746872,8.978774233713404,8.515610560797857,-0.4631636729155456,70.19558715820312,48.63703918457031,-21.558547973632812,77.31278038024902,58.648725509643555,-18.66405487060547,0.9
5x,2.279842156977148,1.9000865242256098,0.9182213617978073,0.8963830373067869,0.8980727237107784,0.22370920330286026,0.3550430327653885,0.738407763838768,9.147649486113968,8.19117659589794,-0.9564728902160298,67.67929077148438,48.819522094726565,-18.859768676757813,83.79921188354493,61.08289680480957,-22.716315078735352,1.3
7x,1.6225195797672571,3.1107219859666855,0.6535428854416774,1.0493994283316312,0.8051782197695839,0.3376356309110468,0.4863858304240487,0.5691165084188635,8.813541786096602,8.57254772616859,-0.240994059928012,65.95795787464489,49.36733176491477,-16.590626109730113,73.01783405650745,50.72250591624867,-22.29532814025879,0.8181818181818182
