relative_path,raw_sharpness,raw_brightness_mean,raw_brightness_std,deploy_sharpness,deploy_brightness_mean,deploy_brightness_std,restormer_teacher_sharpness,restormer_teacher_brightness_mean,restormer_teacher_brightness_std,nafnet_teacher_sharpness,nafnet_teacher_brightness_mean,nafnet_teacher_brightness_std
afternoon/sunny/building/1x/frame_3825.png,580.293701171875,0.5327274799346924,0.2652842104434967,529.7600708007812,0.5341154932975769,0.2665141522884369,576.8890380859375,0.5330176949501038,0.26538628339767456,580.2941284179688,0.5327274799346924,0.2652841806411743
afternoon/sunny/building/3x/frame_3925.png,308.1484680175781,0.5300137400627136,0.257280170917511,277.4791564941406,0.5308850407600403,0.2579486668109894,306.7203369140625,0.5303192734718323,0.2573305368423462,308.1484680175781,0.5300137400627136,0.257280170917511
afternoon/sunny/building/5x/frame_4025.png,113.51874542236328,0.516112208366394,0.2677738666534424,39.32933044433594,0.5167598128318787,0.26930078864097595,113.12211608886719,0.5163575410842896,0.26789894700050354,113.51874542236328,0.516112208366394,0.2677738666534424
afternoon/sunny/building/7x/frame_4175.png,101.33771514892578,0.5197095274925232,0.2733493447303772,18.859142303466797,0.5204064249992371,0.2741996645927429,101.37686157226562,0.5199630856513977,0.27346229553222656,101.33772277832031,0.5197095274925232,0.2733493447303772
afternoon/sunny/mixed/1x/frame_0125.png,1794.816650390625,0.5100638270378113,0.23891840875148773,1387.736572265625,0.5110169053077698,0.23909975588321686,1784.9078369140625,0.510364294052124,0.23895543813705444,1794.8026123046875,0.5100638270378113,0.23891837894916534
afternoon/sunny/mixed/3x/frame_0275.png,1263.134521484375,0.48227807879447937,0.22529739141464233,975.055419921875,0.4835180640220642,0.22607196867465973,1255.801025390625,0.4825090765953064,0.2253546565771103,1263.1314697265625,0.48227807879447937,0.22529733180999756
afternoon/sunny/mixed/5x/frame_0425.png,580.990478515625,0.5553694367408752,0.1935460865497589,292.6191711425781,0.5565739870071411,0.1947319507598877,576.89697265625,0.5557226538658142,0.19351738691329956,580.990478515625,0.5553694367408752,0.1935460865497589
afternoon/sunny/mixed/7x/frame_0575.png,364.618896484375,0.5679063200950623,0.12548618018627167,116.17436981201172,0.5689798593521118,0.1258828043937683,362.66534423828125,0.5682737231254578,0.12549205124378204,364.61859130859375,0.5679063200950623,0.12548618018627167
afternoon/sunny/road_shaded/1x/frame_1725.png,1952.0537109375,0.508068323135376,0.24740886688232422,1690.482421875,0.509526252746582,0.24857394397258759,1941.9754638671875,0.5083585977554321,0.2474505603313446,1952.0587158203125,0.508068323135376,0.24740886688232422
afternoon/sunny/road_shaded/3x/frame_2925.png,1037.94482421875,0.5117310285568237,0.23335498571395874,878.6526489257812,0.5126023888587952,0.23421649634838104,1031.511962890625,0.5119640231132507,0.23340553045272827,1037.945068359375,0.5117310285568237,0.23335495591163635
afternoon/sunny/road_shaded/5x/frame_2175.png,1737.65478515625,0.49653369188308716,0.2748476266860962,1499.1744384765625,0.49776989221572876,0.2762393355369568,1728.7010498046875,0.49675148725509644,0.2748556137084961,1737.65185546875,0.49653366208076477,0.2748475968837738
afternoon/sunny/road_shaded/7x/frame_3125.png,400.659423828125,0.5477152466773987,0.16674363613128662,114.06272888183594,0.5486723780632019,0.16663043200969696,397.38690185546875,0.5483424663543701,0.16683153808116913,400.659423828125,0.5477152466773987,0.16674363613128662
