time_label,zoom_label,mean_r,mean_g,mean_b,std_r,std_g,std_b,mean_y,std_y,tint_rg,tint_bg,edge_density,high_freq_energy,dark_region_ratio,dark_noise_std,hot_pixel_ratio,hot_pixel_count,temporal_noise
day,1x,109.40367431640625,110.64706522623698,107.94844767252604,69.16796061197917,67.90340092976888,70.06598993937175,109.9723607381185,68.37155278523763,-1.2433909098307292,-2.6986175537109376,0.06549540252057613,296.6216145833333,0.13514637988683126,11.679043451944986,0.00020624356995884772,427.6666666666667,1.3352101147174835
day,2x,111.97025248209636,112.66067810058594,110.12967325846354,67.54185943603515,66.53975143432618,68.7197385152181,112.16971689860026,66.93180898030599,-0.6904256184895833,-2.5310048421223956,0.09815033436213992,630.4009511311849,0.1762719264403292,12.672045707702637,0.00018155221193415637,376.46666666666664,1.6437421639760335
day,3x,116.46517384847006,117.16734975179037,115.71216888427735,56.83904012044271,55.40864893595378,56.27581278483073,116.78373260498047,55.80532608032227,-0.7021759033203125,-1.455180867513021,0.08476292438271606,365.37687428792316,0.08484201388888889,11.744192949930827,0.00015477109053497941,320.93333333333334,1.9104452927907307
day,4x,117.29693044026693,118.06296132405599,116.98917338053386,53.94302139282227,52.126173146565755,52.71650670369466,117.70283203125,52.55977223714193,-0.7660308837890625,-1.0737879435221354,0.08705462319958848,436.4549311319987,0.10271122685185184,13.053914451599121,0.00020913708847736625,433.6666666666667,2.270956873893738
day,5x,114.40662231445313,115.99496612548828,115.07095438639323,55.00653076171875,52.651232401529946,52.85381825764974,115.40867106119792,53.12399444580078,-1.5883438110351562,-0.9240117390950521,0.08679600694444445,481.904488881429,0.09462564300411523,11.052902857462565,0.0002265625,469.8,4.127783517042796
day,6x,115.43884989420573,117.54141286214193,116.81333974202474,55.18291269938151,52.25272827148437,52.42100397745768,116.81699015299479,52.86593780517578,-2.102562967936198,-0.7280731201171875,0.06165740740740741,307.2997065226237,0.08085914994855967,11.589149602254231,0.00012207433127572016,253.13333333333333,4.779721180597941
day,7x,114.64421691894532,119.57246627807618,120.53750686645508,56.954816818237305,51.83912582397461,49.9934684753418,118.20026397705078,52.860223388671876,-4.928249359130859,0.9650405883789063,0.10684736689814815,561.3019233703614,0.03439621913580247,8.131668198108674,3.6699459876543214e-05,76.1,8.106783390045166
night,1x,91.76228561401368,92.76799621582032,90.76835556030274,56.19822273254395,56.23543510437012,56.31067314147949,92.24050521850586,56.040490341186526,-1.0057106018066406,-1.999640655517578,0.03872468171296296,187.3605178833008,0.12211101466049383,12.477212524414062,9.794560185185186e-05,203.1,1.8881546258926392
night,2x,90.59372406005859,92.09850158691407,89.97340774536133,51.72827301025391,51.11854286193848,50.37354736328125,91.40621337890624,50.93691482543945,-1.5047775268554688,-2.1250938415527343,0.046069347993827156,156.70070877075196,0.11534968171296296,10.9686993598938,6.553819444444444e-05,135.9,2.3087551593780518
night,3x,85.82752685546875,88.4246726989746,87.20083389282226,52.96387405395508,52.35208282470703,51.32970771789551,87.5092170715332,52.19627075195312,-2.597145843505859,-1.2238388061523438,0.05768349729938271,168.26896133422852,0.13193156828703703,8.309247636795044,7.682291666666666e-05,159.3,2.344901978969574
night,4x,83.90752182006835,87.87189712524415,84.98454208374024,47.949545288085936,47.51762466430664,46.11577529907227,86.35888442993163,47.188195419311526,-3.964375305175781,-2.8873550415039064,0.05059905478395062,114.88085403442383,0.10661839313271604,9.556419563293456,3.361304012345679e-05,69.7,1.8864234685897827
night,5x,85.07589111328124,87.90842742919922,84.19715270996093,43.357879638671875,43.14467086791992,41.710382080078126,86.6384780883789,42.750170135498045,-2.832536315917969,-3.7112747192382813,0.053272714120370365,118.27323265075684,0.09311781442901235,9.690342998504638,4.436728395061728e-05,92.0,2.0305885672569275
night,6x,83.4836311340332,87.13348007202148,81.58399887084961,42.16547813415527,41.9464672088623,40.64801025390625,85.40940551757812,41.51798667907715,-3.6498489379882812,-5.549481201171875,0.02684563078703704,48.19243545532227,0.08611019483024691,10.325052070617676,1.4178240740740741e-05,29.4,1.5103379487991333
night,7x,84.2404670715332,86.77817001342774,83.38457946777343,41.98938903808594,41.75465621948242,40.855600357055664,85.63130340576171,41.45017509460449,-2.537702941894531,-3.393590545654297,0.008857156635802468,27.395433044433595,0.08703423996913581,10.063424110412598,4.822530864197531e-07,1.0,1.4816555678844452
