epoch,train_loss,val_loss,psnr,ssim,lpips,niqe,lr
1,0.0680033503068899,0.1013236691057682,25.769003200531007,0.7146111138811433,0.3920169374346733,5.843185783829829,5e-05
2,0.06644355486878757,0.10168970759958029,25.73589943885803,0.7132653127575277,0.393535125926137,5.836502466593506,4.998768868112501e-05
3,0.06606658837924873,0.10177937272936105,25.720613594055177,0.7129109913725792,0.3951435590535402,5.851406152136706,4.995076687428538e-05
4,0.06584775470094513,0.10183742508292198,25.707619314193725,0.7126802394464865,0.3940118130296469,5.8819019187627495,4.988927101684685e-05
5,0.06592143973931784,0.10139373198151588,25.766838722229004,0.7153003083586534,0.39067858912050724,5.706834536697869,4.9803261797796235e-05
6,0.06593478653026577,0.101919822730124,25.72161180496216,0.7130895128333253,0.3912040618807077,5.767368293725318,4.9692824097848696e-05
7,0.06543280444411735,0.10315081905573606,25.596375274658204,0.7068320900397345,0.39764276415109634,5.893022126093107,4.955806690568079e-05
8,0.0654621228952229,0.10160585336387157,25.732197818756102,0.7140181668257687,0.38794839031994344,5.711961550702531,4.9399123210371755e-05
9,0.06504238485879227,0.10198307026177644,25.702245473861694,0.7126014225382794,0.3903959197551012,5.697766791838527,4.921614987015935e-05
10,0.06555736744362764,0.10220569003373385,25.679050540924074,0.7114957677002106,0.3897956468164921,5.72024854628763,4.900932745763974e-05
11,0.06521003386989851,0.1023375104740262,25.665281352996825,0.711113514148459,0.39077469684183597,5.901296093515028,4.877886008156409e-05
