epoch,train_loss,val_loss,psnr,ssim,lpips,niqe,lr
1,0.04140830129660942,0.04238915384747088,22.901758165359496,0.663977456783349,0.3900466997921467,10.169919618155937,0.0001
2,0.040462157033659796,0.04131724080070853,23.214551944732666,0.6755780417604792,0.3649038337171078,9.727792401777075,9.999726120980734e-05
3,0.03927084024029749,0.040364805734716354,23.52300950050354,0.6862153592628324,0.33927534639835355,8.491461836020246,9.998904513956854e-05
4,0.03854969102475378,0.039508692608214914,23.791906566619872,0.6950137349346264,0.32269343852996824,8.231799897333573,9.99753526902683e-05
5,0.037492447015311986,0.03856532491277903,24.09363187789917,0.7052918258362927,0.33034083537757397,6.808982974078641,9.995618536343798e-05
6,0.0367134645305298,0.038060551425442096,24.286758394241332,0.7110824274786558,0.35085923694074156,5.475577085633056,9.993154526099097e-05
7,0.036501145749180404,0.037922834167256954,24.34835298538208,0.7128742540414049,0.359987319111824,5.519336093582261,9.990143508499217e-05
8,0.036284035830586044,0.037848667656071484,24.381489086151124,0.713677949431888,0.3650999245792627,5.576019763487807,9.986585813736167e-05
9,0.03624266027300446,0.03776676947250962,24.407386407852172,0.7146119931332727,0.3699916307628155,5.743735343411519,9.982481831951275e-05
10,0.036242854608981696,0.037722182534635065,24.429515581130982,0.715115459809764,0.3716478551924229,5.8454362962248805,9.977832013192385e-05
11,0.03632864231864611,0.037722255205735564,24.433174314498903,0.7148889332530185,0.3746280965954065,5.848442929488893,9.972636867364526e-05
12,0.036279237173773626,0.03765307034365833,24.449859504699706,0.7156523116821641,0.3760454470664263,5.971696547868955,9.966896964173981e-05
13,0.03613586682412359,0.0376633622450754,24.454047718048095,0.7151415148544216,0.37567860588431357,5.867339725091264,9.960612933065818e-05
14,0.03614920850291296,0.03759745587129146,24.467810878753664,0.7159922015955926,0.3781197901070118,6.066390755226568,9.953785463154861e-05
15,0.03623282830058425,0.03756026745308191,24.476317958831785,0.7162152037202675,0.3785747962445021,6.2039703252530805,9.946415303150127e-05
16,0.03615696210828093,0.03754852971527725,24.48139009475708,0.71618023959539,0.3784445982426405,6.158436303585197,9.938503261272713e-05
17,0.036131812949423435,0.03751840210519731,24.487762928009033,0.7163914363428148,0.38001653775572775,6.17125468207783,9.930050205167172e-05
18,0.03593492487238513,0.03748591084964573,24.491575441360474,0.7166667960777431,0.38076585479080677,6.314635786480152,9.921057061806362e-05
19,0.03606260895591091,0.03746615295764059,24.50266930580139,0.7166337042503599,0.37893899373710155,6.376904088920856,9.9115248173898e-05
20,0.035933834949025405,0.03746931401547045,24.50388279914856,0.7165425024065238,0.3796975737065077,6.372127859674591,9.901454517235501e-05
21,0.03605340583318913,0.037425171369686726,24.507665672302245,0.716842759644568,0.38084182016551493,6.367073628384186,9.89084726566536e-05
22,0.03601487408633585,0.03743139762431383,24.50616771697998,0.7166555067222388,0.38085704900324346,6.255573634244071,9.879704225884044e-05
23,0.03599378066482367,0.03736405306030065,24.520714588165283,0.7170076141622599,0.37958125285804273,6.534949099329342,9.868026619851436e-05
24,0.03594273759948986,0.03733714882284403,24.527114124298095,0.71711563380632,0.3789260341227055,6.5633531848360205,9.855815728148632e-05
25,0.03600908298459318,0.03732432924676687,24.528742294311524,0.7173046007430096,0.380476276576519,6.536973806998946,9.843072889837512e-05
26,0.03584517848988374,0.037295760693959894,24.536807928085327,0.7171335639532239,0.3781864161789417,6.517729886578156,9.829799502313895e-05
27,0.03587579951380138,0.03726578284520656,24.541489753723145,0.7174733367988427,0.3796962095797062,6.638262068128828,9.815997021154302e-05
28,0.035853580192283345,0.03727002716623247,24.541970643997193,0.7171505386804483,0.37839118495583535,6.482338578194526,9.80166695995633e-05
29,0.0357417530828604,0.03725689231418073,24.541457872390747,0.7173330330648855,0.37934717230498793,6.370934030285643,9.786810890172675e-05
30,0.03589165969579308,0.03720970611087978,24.553953838348388,0.7174468767080391,0.37773245699703695,6.576055428764153,9.771430440938803e-05
31,0.035811553398768105,0.037173216417431834,24.560913438796998,0.7177832739876742,0.3783380028605461,6.736356026270606,9.755527298894293e-05
32,0.03565090215178551,0.03716659971512854,24.570929403305055,0.7176820876369243,0.3744998259097338,6.742935277236672,9.739103207997881e-05
33,0.03567755277510042,0.037133486713282766,24.572841453552247,0.718029133019765,0.3779636288434267,6.767850443005346,9.722159969336219e-05
34,0.03582837304997223,0.037111880485899744,24.57413896560669,0.7179850141894828,0.37661990121006966,6.7695406750621405,9.704699440926357e-05
35,0.035724635097991536,0.03707578289322555,24.583341398239135,0.7179457961440195,0.37391379043459894,6.811328825332172,9.686723537511998e-05
36,0.03562831340564622,0.03707630270626396,24.58838935852051,0.718590670461598,0.3789104079455137,6.728425013207668,9.668234230353521e-05
37,0.03556477582013166,0.03702266551554203,24.595087432861327,0.7185839776437685,0.3768540342897177,6.765297593113202,9.649233547011815e-05
38,0.03549438018213819,0.03700987393967807,24.60298228263855,0.7185466780713948,0.3748449493944645,6.660019709509795,9.629723571125924e-05
39,0.035555483635377,0.03699321580119431,24.613806858062745,0.7185976300513395,0.3729115203022957,6.709905363231691,9.609706442184561e-05
40,0.035562337617631314,0.036989851561374965,24.617945232391357,0.7188798937306956,0.3770105641335249,6.55536836560868,9.589184355291486e-05
41,0.035423751885968226,0.036910939267836514,24.631743240356446,0.7191210847765128,0.373418480604887,6.743953422122714,9.568159560924792e-05
42,0.03545269132074383,0.03686621223110706,24.642547063827514,0.7193364403021785,0.3715354080498219,6.790533527220839,9.54663436469011e-05
43,0.035426196055831735,0.03691125431098044,24.654567279815673,0.7193202782596255,0.3687596047669649,6.6388628326133485,9.524611127067769e-05
44,0.03536485742639612,0.036808874835260214,24.66529249191284,0.7199671534923244,0.37101948402822016,6.84055927969358,9.502092263153959e-05
45,0.03536639931715197,0.03676917252596468,24.673077754974365,0.7196426929750089,0.3649922919273376,6.84694728343387,9.479080242395869e-05
46,0.03540836312566643,0.036733284373767675,24.683792209625246,0.7204193423355706,0.36889924854040146,6.85488151205777,9.455577588320899e-05
47,0.03542439108369527,0.036718968241475525,24.688023948669432,0.719728583395888,0.3610211412608624,6.801256677791319,9.431586878259919e-05
48,0.0352466667967814,0.03680611811112613,24.700116147994994,0.7206182713730405,0.36566608637571335,6.624001219599215,9.407110743064637e-05
49,0.035105182927239825,0.036661169021390376,24.71804193496704,0.7211801964970357,0.366689196228981,6.781718994276673,9.3821518668191e-05
50,0.03519189288770711,0.036628299239091576,24.72618956565857,0.7211119936238817,0.3624838110804558,6.815173663208974,9.35671298654535e-05
51,0.035315552071012835,0.03657990911975503,24.736447772979737,0.7215116854173921,0.36251998841762545,6.7174188787721825,9.330796891903274e-05
52,0.035138539418026256,0.03655370967462659,24.74629976272583,0.7216951511886636,0.3606929191201925,6.7947174806427055,9.304406424884702e-05
53,0.035187959464059934,0.03652262035291642,24.759237909317015,0.7219510172015782,0.3593034726381302,6.857772437924111,9.277544479501734e-05
54,0.03520832321158162,0.03649894433561712,24.76156826019287,0.7216432137886812,0.35327801801264286,6.8523420956339915,9.250214001469389e-05
55,0.03517445080258228,0.0364776459056884,24.77488293647766,0.7220779505008272,0.3569965078681707,6.707675394517428,9.222417987882569e-05
56,0.035164509520486546,0.03643431047908962,24.785309705734253,0.7223709006733929,0.35468142438679934,6.852174014831499,9.194159486887397e-05
57,0.03522268123924732,0.036424119067378344,24.790348796844484,0.7227207097534147,0.35799111396074296,6.873925943249527,9.165441597346951e-05
58,0.03515165264683741,0.036386954877525565,24.799957590103148,0.7229597664385612,0.3561355861276388,6.876780165160649,9.13626746850144e-05
59,0.03516861044422344,0.036382847763597966,24.808843975067138,0.7233388182654715,0.3556027108803391,6.786836135780938,9.106640299622855e-05
60,0.03506867201239974,0.036373536777682604,24.813983268737793,0.7229398664017951,0.3507489068061113,6.776264249856038,9.07656333966413e-05
61,0.034946171601337415,0.036345870210789145,24.813645629882814,0.7231424053293906,0.3525095281004906,6.8002367158600645,9.046039886902865e-05
62,0.0349703348690161,0.036302276425994935,24.833827056884765,0.7237323351187044,0.35171697594225404,6.8528906499158415,9.01507328857962e-05
63,0.03479392433332072,0.036327654770575465,24.837617988586427,0.7229431527064238,0.3430062912032008,6.8365452677700125,8.983666940530862e-05
64,0.03505821325988681,0.036271710195578635,24.840949373245238,0.7234223985215119,0.3483269479125738,6.931419893296366,8.951824286816574e-05
65,0.03494037573950158,0.03630103468429297,24.842666997909546,0.7244343832795112,0.35587362982332704,6.773724061979116,8.919548819342572e-05
66,0.03479834059598269,0.03623409485444427,24.856846427917482,0.7241273727104465,0.3478427712619305,6.71822687774964,8.886844077477572e-05
67,0.03488735288933471,0.036258431705646216,24.850854759216308,0.7237906832581852,0.3511209420859814,6.802683320299371,8.85371364766507e-05
68,0.03484879803188421,0.036198879843577746,24.86344982147217,0.7242711404880556,0.346538102068007,6.904217270328397,8.820161163030041e-05
69,0.03479331138509291,0.03621277880389243,24.86635019302368,0.7248653539456307,0.35141746878623964,6.7490104584797095,8.786190302980525e-05
70,0.035018993679572036,0.0361650135088712,24.87267922401428,0.7248210505653432,0.34917416200041773,6.902148973792973,8.751804792804147e-05
71,0.03475158464991384,0.03620164230465889,24.878061752319336,0.7245813836348768,0.3467339010536671,6.933189821233473,8.717008403259587e-05
72,0.0346917941890381,0.03614802498370409,24.888731327056885,0.7252323749447879,0.3474726540222764,6.889895649598199,8.681804950163075e-05
73,0.03500082009230499,0.03616031770128757,24.88636116027832,0.7251299328492093,0.3492085525766015,6.585832589717302,8.646198293969953e-05
74,0.034796675839633855,0.03613384324591607,24.888478679656984,0.7246405699707332,0.3433538830280304,6.742663785191724,8.610192339351322e-05
75,0.03495467205842336,0.03617470128461719,24.893442039489745,0.7254892890262238,0.3484998220577836,6.757851986005326,8.573791034765855e-05
76,0.03479502225915591,0.036206403975374994,24.88795107841492,0.7251704409612705,0.3468633797764778,6.503903826931857,8.536998372026807e-05
77,0.03485423974968769,0.03609781158156693,24.90274503707886,0.7256416690662051,0.34902237929403784,6.939675598581637,8.499818385864264e-05
78,0.03471454060463994,0.03606757234781981,24.90985713005066,0.7257849409303789,0.3453390068560839,6.924171480998195,8.462255153482685e-05
79,0.03478931766693239,0.03607987256720662,24.914224491119384,0.7256800876725843,0.347610651999712,6.790390874545296,8.424312794113803e-05
80,0.03474768899657108,0.03609493784140796,24.913307056427,0.7254744113140981,0.34646435737609865,7.0327852744440085,8.385995468564893e-05
81,0.0346295359303002,0.03602003649808466,24.921897459030152,0.7259213412048575,0.3452272927388549,7.098380680754182,8.3473073787625e-05
82,0.03464343164254118,0.03606779179535806,24.918769874572753,0.7258745573634949,0.3448954125493765,6.830888504726363,8.308252767291644e-05
83,0.034696363430056304,0.036010181908495725,24.92788974761963,0.7260152824006858,0.34468110103160143,7.1077213896125,8.26883591693058e-05
84,0.034658090142464196,0.03599003099370748,24.93285201072693,0.7261683846644361,0.34405958972871303,7.065436881571771,8.229061150181136e-05
85,0.034733659139385926,0.03597497782669962,24.93985221862793,0.7264801329220532,0.34229719571769235,7.032799430050743,8.188932828794708e-05
86,0.03470346462671404,0.0359767084242776,24.939362668991087,0.7263049961661683,0.3408843471109867,6.971990509977994,8.148455353293941e-05
87,0.034805495119481174,0.03602267852518708,24.93814507484436,0.7265884363996501,0.3462199680134654,6.777073521695165,8.107633162490163e-05
88,0.03471924543932632,0.03595875666476786,24.947689266204833,0.7261808772192745,0.3404653749614954,7.1199751257023625,8.06647073299662e-05
89,0.034681635770808766,0.03597139488905668,24.94403365135193,0.7264932684045187,0.33860086150467394,6.982904289054269,8.024972578737566e-05
90,0.034736035495168634,0.03593348340131342,24.952987365722656,0.7264084916565434,0.3395204142853618,7.047519786830202,7.983143250453253e-05
91,0.03465168109094655,0.03595354134216905,24.955851726531982,0.7270578852156675,0.3427713432163,6.951323809292835,7.940987335200905e-05
92,0.034768417201660295,0.03590349522419274,24.9622029876709,0.7271050309565423,0.34247744388878343,7.050595302404098,7.898509455851682e-05
93,0.034619583506827,0.03592434995807707,24.96316432952881,0.7271013441609548,0.3424618672579527,6.978646121590441,7.85571427058374e-05
94,0.034664616333665674,0.0359240453876555,24.96143434524536,0.7268515895041153,0.3411470801010728,7.143836941058237,7.812606472371395e-05
95,0.034666999277693254,0.03588951801881194,24.972094593048094,0.7272828316373007,0.34012172985821965,6.998829272229642,7.769190788470505e-05
96,0.03472335871171068,0.03586833899840713,24.974654054641725,0.7270311151920558,0.33753101378679273,7.154229551437304,7.725471979900061e-05
97,0.034496943535352195,0.03586651168297976,24.97235957145691,0.7271439717987103,0.3390552080795169,7.088609745457322,7.681454840920089e-05
98,0.03459618519991636,0.0358530497783795,24.979343662261964,0.7275193098923372,0.3399130802601576,7.121564043764193,7.637144198505907e-05
99,0.034561295372744404,0.035836078580468896,24.980113430023195,0.727343213669779,0.33978460293263196,7.221321727471913,7.592544911818787e-05
100,0.03456036474003836,0.03583794039208442,24.983290328979493,0.7274070445803961,0.33765274491161107,7.118993630838376,7.547661871673107e-05
101,0.0345323351384313,0.035828987658023836,24.986520490646363,0.727557415031336,0.3385489359125495,7.183298459835704,7.502500000000002e-05
102,0.034545520320534706,0.035843742238357665,24.9849923992157,0.7277997563880565,0.3405914756655693,7.109440999405478,7.45706424930763e-05
103,0.03440542370770817,0.03585186210460961,24.980899076461792,0.7274780001687812,0.342674018740654,7.1353459666588925,7.41135960213807e-05
104,0.03465438913553953,0.03585581586230546,24.990422782897948,0.7276262613008032,0.34014208961278203,7.0416455597846666,7.365391070520928e-05
105,0.034630156984483754,0.03580317738465965,24.993955421447755,0.7274435882836291,0.3352966481819749,7.165932157060277,7.319163695423713e-05
106,0.034502682414043834,0.035915118283592166,24.982536945343018,0.7278694284486086,0.34559574894607065,6.8286164771128925,7.272682546199038e-05
107,0.034488669182691306,0.03581038984004408,24.99537261009216,0.7279982019578491,0.34015733569860457,7.166316516574193,7.225952720028714e-05
108,0.03459228209599301,0.035799080580472945,24.99866355895996,0.7280664075930191,0.34078050464391707,7.09732450041867,7.178979341364778e-05
109,0.034647431776479436,0.035758888414129615,25.006253662109376,0.728205536084166,0.33804899398237465,7.172513919714046,7.131767561367539e-05
110,0.034578532359942245,0.03576585349161178,25.003221340179444,0.7276179834055612,0.33506611969321964,7.267910424473102,7.084322557340705e-05
111,0.03447887391127922,0.03574013039469719,25.012899017333986,0.7280723948113471,0.33336286414414645,7.309458327371756,7.036649532163623e-05
112,0.034433491700501355,0.03573804306797683,25.013514528274538,0.7281191000504447,0.33533760778605937,7.320283638465285,6.98875371372073e-05
113,0.03454171510896197,0.035740126725286245,25.013741388320923,0.7281786360727363,0.3362513053044677,7.2752455302492764,6.940640354328255e-05
114,0.03451973396456904,0.03574523961637169,25.01385631561279,0.7285891869610484,0.3401030859723687,7.128806580669453,6.892314730158245e-05
115,0.03462993833063929,0.03574505189899355,25.01715754508972,0.7279411075678034,0.33454712338745596,7.197705582904581,6.843782140659969e-05
116,0.03453772594393403,0.03572066789027303,25.02132113456726,0.7283668243215664,0.3347821272537112,7.26937246304733,6.795047907978775e-05
117,0.03466944941491992,0.03570733763743192,25.024007310867308,0.7286969908095726,0.3371185561269522,7.198888308988562,6.746117376372468e-05
118,0.03451306248704592,0.035714423758909104,25.028080291748047,0.7286197044815392,0.3360685048252344,7.140904814848503,6.696995911625232e-05
119,0.034499409746516635,0.03569770344998688,25.025861225128175,0.7287672321352633,0.33638664945960045,7.177929514119107,6.647688900459224e-05
120,0.03443066065234167,0.0357199495146051,25.027578926086427,0.7288161732976337,0.33783451121300456,7.024975962647298,6.59820174994386e-05
121,0.03460102993994951,0.03574159826152026,25.0296422290802,0.7279356061756215,0.33319361474364995,6.884249592561573,6.548539886902864e-05
122,0.034524083654913634,0.03567294876091182,25.03478713989258,0.7287408268129305,0.3338595392554998,7.354909093449134,6.498708757319154e-05
123,0.03439567220845708,0.0356774710630998,25.034053134918214,0.7293342352795789,0.33967509381473066,7.2481888471200975,6.448713825737637e-05
124,0.034312393309341535,0.03568945100530982,25.036732749938963,0.7290920948614401,0.33365989856421946,7.174131830902894,6.398560574665952e-05
125,0.03442854375612957,0.03567558488342911,25.037812938690184,0.7291001029130979,0.33653474893420937,7.088908296017616,6.348254503973253e-05
126,0.03433399806144061,0.035658685863018035,25.039775676727295,0.7288431564278006,0.3348976212739945,7.276241636497782,6.297801130287093e-05
