time_label,zoom_label,mean_r,mean_g,mean_b,std_r,std_g,std_b,mean_y,std_y,tint_rg,tint_bg,edge_density,high_freq_energy,dark_region_ratio,dark_noise_std,hot_pixel_ratio,hot_pixel_count,temporal_noise
day,1x,108.62650400797526,110.80814412434896,107.74139912923177,68.37728398640951,67.41290003458658,69.59412943522135,109.78167470296223,67.77530263264974,-2.181640116373698,-3.0667449951171877,0.06331008873456791,284.5396036783854,0.13403337191358025,11.44406827290853,0.00013789223251028807,285.93333333333334,1.2225877145926158
day,2x,111.1975611368815,112.75998280843099,109.85289510091145,66.61612345377604,65.86695760091146,68.05369567871094,111.95472056070963,66.17015380859375,-1.5624216715494792,-2.907087707519531,0.08760841049382716,576.3271372477213,0.17459394290123456,12.624344062805175,0.00014898405349794239,308.93333333333334,1.4734918872515361
day,3x,115.71423543294271,117.21227569580078,115.50178731282553,56.09517288208008,54.90992253621419,55.79602305094401,116.56485036214193,55.23409754435222,-1.498040262858073,-1.7104883829752604,0.07563641332304526,330.68744405110675,0.08360841049382715,11.654732704162598,0.00010979295267489712,227.66666666666666,1.7355766495068867
day,4x,116.47194976806641,118.04431660970052,116.7389134724935,53.17784194946289,51.56108805338542,52.16110026041667,117.42727203369141,51.91533915201823,-1.5723668416341146,-1.3054031372070312,0.07347437628600823,380.0840021769206,0.09948376414609054,13.04102700551351,0.00016460905349794237,341.3333333333333,2.050146520137787
day,5x,113.54762827555338,116.00381774902344,114.80060272216797,54.27300898234049,52.08438390096028,52.280785115559894,115.1321029663086,52.46453628540039,-2.4561894734700522,-1.2032150268554687,0.07270669367283951,421.9413823445638,0.09256182484567901,10.83718687693278,0.00015985082304526747,331.46666666666664,3.905428330103556
day,6x,114.5894282023112,117.55516611735025,116.55748036702474,54.65162836710612,51.91137491861979,52.09946899414062,116.54722239176432,52.41760152180989,-2.9657379150390626,-0.9976857503255209,0.05683767361111111,284.76910235087075,0.07983397633744856,11.447827847798665,0.00011953446502057613,247.86666666666667,4.610728780428569
day,7x,113.54277191162109,119.46297683715821,119.91840209960938,56.05322036743164,51.21407012939453,49.33796844482422,117.74916763305664,52.105703353881836,-5.920204925537109,0.4554252624511719,0.07977965856481481,400.5425603866577,0.03497453703703703,8.11924102306366,3.052662037037037e-05,63.3,7.602281242609024
night,1x,91.23593215942383,93.12326126098633,90.85914001464843,55.55767593383789,55.97550277709961,55.87084884643555,92.29804382324218,55.590444564819336,-1.8873291015625,-2.264121246337891,0.04071450617283951,191.61078414916992,0.12049266975308641,11.970111560821532,5.680941358024691e-05,117.8,1.8509285748004913
night,2x,90.08995361328125,92.46820983886718,90.08154525756837,51.27283897399902,51.05931015014649,50.13626937866211,91.48010635375977,50.67668914794922,-2.3782562255859374,-2.3866645812988283,0.048635802469135805,164.70389633178712,0.11411766975308642,10.579859924316406,3.4481095679012345e-05,71.5,2.280530869960785
night,3x,85.36517333984375,88.8810920715332,87.34621505737304,52.60042839050293,52.3709056854248,51.07617454528808,87.65719528198242,52.02170257568359,-3.515918731689453,-1.5348770141601562,0.05922574266975309,171.25649490356446,0.1304626736111111,8.023601293563843,3.891782407407407e-05,80.7,2.3247679471969604
night,4x,83.31632537841797,88.38082504272461,85.00284805297852,47.78104515075684,47.687048721313474,46.00080947875976,86.48227615356446,47.14589347839355,-5.0644996643066404,-3.377976989746094,0.05194232253086419,109.8387825012207,0.10591820987654321,9.230525970458984,1.9000771604938273e-05,39.4,1.8620645999908447
night,5x,84.55400314331055,88.40258560180663,84.31740341186523,43.36051292419434,43.46396713256836,41.77656478881836,86.78565063476563,42.871146011352536,-3.848582458496094,-4.085182189941406,0.057501591435185184,120.03166809082032,0.09308897569444444,9.414214324951171,2.7247299382716048e-05,56.5,2.0315017104148865
night,6x,82.86161575317382,87.74001617431641,81.57405700683594,42.08953857421875,42.13239097595215,40.64789390563965,85.57588577270508,41.5151985168457,-4.878400421142578,-6.165959167480469,0.031993537808641975,47.90666580200195,0.08425250771604939,9.928622341156006,8.005401234567901e-06,16.6,1.5164499878883362
night,7x,83.7508171081543,87.29172897338867,83.4950080871582,41.64938240051269,41.66330757141113,40.67977180480957,85.79538497924804,41.2020206451416,-3.540911865234375,-3.7967208862304687,0.010298755787037036,22.51816520690918,0.08319912229938273,9.708576011657716,3.3757716049382715e-07,0.7,1.476670354604721
