relative_path,time_of_day,weather,scene,zoom,comparison_path,deploy_niqe,deploy_brisque,deploy_piqe,deploy_flat_hf_ratio,deploy_strong_edge_grad_ratio,deploy_sharpness_ratio,deploy_edge_density_ratio,deploy_hf_energy_ratio,deploy_ringing_ratio,deploy_raw_output_lowfreq_luma_mae,deploy_raw_output_chroma_mae,deploy_raw_output_diff_p95,deploy_risk_score,deploy_failure_labels,mtkd_niqe,mtkd_brisque,mtkd_piqe,mtkd_flat_hf_ratio,mtkd_strong_edge_grad_ratio,mtkd_sharpness_ratio,mtkd_edge_density_ratio,mtkd_hf_energy_ratio,mtkd_ringing_ratio,mtkd_raw_output_lowfreq_luma_mae,mtkd_raw_output_chroma_mae,mtkd_raw_output_diff_p95,mtkd_risk_score,mtkd_failure_labels,stkd_niqe,stkd_brisque,stkd_piqe,stkd_flat_hf_ratio,stkd_strong_edge_grad_ratio,stkd_sharpness_ratio,stkd_edge_density_ratio,stkd_hf_energy_ratio,stkd_ringing_ratio,stkd_raw_output_lowfreq_luma_mae,stkd_raw_output_chroma_mae,stkd_raw_output_diff_p95,stkd_risk_score,stkd_failure_labels,mtkd_minus_deploy_niqe,mtkd_minus_deploy_brisque,mtkd_minus_deploy_piqe,mtkd_minus_deploy_flat_hf_ratio,mtkd_minus_deploy_strong_edge_grad_ratio,mtkd_minus_deploy_sharpness_ratio,mtkd_minus_deploy_edge_density_ratio,mtkd_minus_deploy_hf_energy_ratio,mtkd_minus_deploy_ringing_ratio,mtkd_minus_deploy_raw_output_lowfreq_luma_mae,mtkd_minus_deploy_raw_output_chroma_mae,mtkd_minus_deploy_raw_output_diff_p95,mtkd_minus_deploy_risk_score,stkd_minus_deploy_niqe,stkd_minus_deploy_brisque,stkd_minus_deploy_piqe,stkd_minus_deploy_flat_hf_ratio,stkd_minus_deploy_strong_edge_grad_ratio,stkd_minus_deploy_sharpness_ratio,stkd_minus_deploy_edge_density_ratio,stkd_minus_deploy_hf_energy_ratio,stkd_minus_deploy_ringing_ratio,stkd_minus_deploy_raw_output_lowfreq_luma_mae,stkd_minus_deploy_raw_output_chroma_mae,stkd_minus_deploy_raw_output_diff_p95,stkd_minus_deploy_risk_score
afternoon/sunny/building/1x/frame_3825.png,afternoon,sunny,building,1x,afternoon/sunny/building/1x/frame_3825.compare.jpg,5.193214958106761,43.513916015625,50.348873138427734,0.9275342120303095,1.053438875811983,0.9287955917990908,0.9630681490869291,1.0150385610482244,1.0070048396412414,0.35421624779701233,0.5431018471717834,6.0,0,balanced,5.778938473227705,65.06695556640625,79.85565185546875,0.8123333178814521,0.94755332709084,0.6234133135167105,0.7507402500144018,0.8956755977086355,1.1128478228713135,5.6799163818359375,1.4336925745010376,14.0,1,tone_or_color_shift,5.850198459556538,60.112548828125,72.80864715576172,0.844272255278812,1.0076146040770866,0.6755005740713443,0.8430209113428193,0.9536665258388216,1.095700509253315,5.178400993347168,1.180323600769043,13.0,1,tone_or_color_shift,0.5857235151209439,21.55303955078125,29.506778717041016,-0.11520089414885737,-0.10588554872114309,-0.3053822782823803,-0.21232789907252725,-0.11936296333958896,0.10584298323007202,5.325700134038925,0.8905907273292542,8.0,1,0.6569835014497771,16.5986328125,22.459774017333984,-0.0832619567514975,-0.04582427173489645,-0.25329501772774643,-0.12004723774410975,-0.06137203520940282,0.08869566961207354,4.824184745550156,0.6372217535972595,7.0,1
afternoon/sunny/building/3x/frame_3925.png,afternoon,sunny,building,3x,afternoon/sunny/building/3x/frame_3925.compare.jpg,5.758497900521137,22.58648681640625,44.41748809814453,0.9266530983282124,1.0576415959615542,0.9100011693286588,0.9677446017150532,1.000311531723018,1.0613247173842904,0.22305189073085785,0.3672475516796112,6.0,0,balanced,6.60864137534719,42.902252197265625,82.08297729492188,0.7787090184143439,0.9292592796115978,0.5630098180741925,0.7795743361917553,0.8639127326469537,1.170750415477053,5.7819013595581055,1.1540964841842651,13.0,2,oversharpening_or_ringing_risk;tone_or_color_shift,6.644347658682586,33.532684326171875,67.83837890625,0.8087804489202134,0.9877762714628497,0.6218609930401519,0.8363983882632502,0.9184646863924675,1.1639941574490622,4.960132122039795,0.9405710101127625,11.0,2,oversharpening_or_ringing_risk;tone_or_color_shift,0.8501434748260532,20.315765380859375,37.665489196777344,-0.1479440799138685,-0.12838231634995634,-0.34699135125446634,-0.18817026552329785,-0.13639879907606434,0.10942569809276259,5.558849468827248,0.7868489325046539,7.0,2,0.8858497581614486,10.946197509765625,23.42089080810547,-0.11787264940799902,-0.06986532449870442,-0.28814017628850697,-0.13134621345180297,-0.08184684533055053,0.10266944006477186,4.737080231308937,0.5733234584331512,5.0,2
afternoon/sunny/building/5x/frame_4025.png,afternoon,sunny,building,5x,afternoon/sunny/building/5x/frame_4025.compare.jpg,6.128631397079159,44.86614990234375,37.73268508911133,0.8719600605248117,1.0605331672418825,0.3719589031753678,0.7663322523983246,1.0292496271179843,1.3370680614090202,0.1766921728849411,0.4207462966442108,7.0,1,oversharpening_or_ringing_risk,7.84889499096397,69.9964599609375,75.83944702148438,0.7713144534539592,0.8007051143886442,0.09806355334795078,0.5038339413592758,0.7412037630482096,1.2759974019351226,5.93520450592041,1.2987024784088135,12.0,3,oversmoothing_risk;oversharpening_or_ringing_risk;tone_or_color_shift,6.792323416920144,61.891326904296875,59.512474060058594,0.7619085926437748,0.8727362071980045,0.125369888740715,0.5676428860964735,0.7980595081530735,1.2670416155582394,5.011312961578369,1.1345263719558716,10.0,3,oversmoothing_risk;oversharpening_or_ringing_risk;tone_or_color_shift,1.7202635938848108,25.13031005859375,38.10676193237305,-0.10064560707085246,-0.2598280528532383,-0.27389534982741703,-0.26249831103904875,-0.2880458640697747,-0.06107065947389767,5.758512333035469,0.8779561817646027,5.0,2,0.663692019840985,17.025177001953125,21.779788970947266,-0.11005146788103692,-0.18779696004387803,-0.24658901443465278,-0.19868936630185108,-0.23119011896491082,-0.07002644585078088,4.834620788693428,0.7137800753116608,3.0,2
afternoon/sunny/building/7x/frame_4175.png,afternoon,sunny,building,7x,afternoon/sunny/building/7x/frame_4175.compare.jpg,6.945549779824987,41.53485107421875,20.029325485229492,0.8217948432888906,0.9095371940761808,0.19684725192533306,1.3040039818604137,0.8219163249440752,1.1636369139176093,0.19087733328342438,0.3818202614784241,6.0,1,oversharpening_or_ringing_risk,8.279511104830588,67.27487182617188,52.364803314208984,0.6919356141800136,0.6998469972781004,0.0471138636037325,0.5293109169339675,0.5606564615324771,1.3454133355034794,6.013615131378174,1.3579745292663574,12.0,3,oversmoothing_risk;oversharpening_or_ringing_risk;tone_or_color_shift,7.311288957304676,61.219635009765625,34.1285514831543,0.7298778400329549,0.7568516945245214,0.06010582520995983,0.5607233713084836,0.6087547750688331,1.3158882276070842,4.683394432067871,1.2109097242355347,10.0,3,oversmoothing_risk;oversharpening_or_ringing_risk;tone_or_color_shift,1.3339613250056015,25.740020751953125,32.33547782897949,-0.12985922910887704,-0.20969019679808043,-0.14973338832160055,-0.7746930649264462,-0.2612598634115981,0.18177642158587015,5.8227377980947495,0.9761542677879333,6.0,2,0.3657391774796892,19.684783935546875,14.099225997924805,-0.09191700325593577,-0.15268549955165944,-0.13674142671537323,-0.7432806105519301,-0.21316154987524205,0.15225131368947498,4.492517098784447,0.8290894627571106,4.0,2
afternoon/sunny/mixed/1x/frame_0125.png,afternoon,sunny,mixed,1x,afternoon/sunny/mixed/1x/frame_0125.compare.jpg,3.4020862518566743,22.29833984375,30.83624267578125,0.764587688023844,1.0095903752240116,0.7949698182047483,0.9111841504610608,0.8880920848723384,1.2808044313863707,0.25241443514823914,0.6610108017921448,10.0,1,oversharpening_or_ringing_risk,4.915297504098734,41.71929931640625,67.56775665283203,0.6414776960322731,0.9751476061750036,0.5469973915585733,0.7046790833561581,0.8198609266951241,1.413851794320492,5.424158096313477,1.694116473197937,19.0,3,oversharpening_or_ringing_risk;tone_or_color_shift;large_raw_deviation,4.756582833116949,29.67681884765625,50.50337219238281,0.6732391291092918,0.9860881117799042,0.5590756004605643,0.7654523874737515,0.8406150986223928,1.3774636047047244,4.755686283111572,1.5850920677185059,17.0,3,oversharpening_or_ringing_risk;tone_or_color_shift;large_raw_deviation,1.5132112522420598,19.42095947265625,36.73151397705078,-0.12310999199157091,-0.034442769049008004,-0.24797242664617503,-0.20650506710490268,-0.06823115817721426,0.13304736293412134,5.171743661165237,1.0331056714057922,9.0,2,1.3544965812602743,7.37847900390625,19.667129516601562,-0.09134855891455218,-0.02350226344410744,-0.23589421774418406,-0.14573176298730928,-0.04747698624994556,0.09665917331835372,4.503271847963333,0.9240812659263611,7.0,2
afternoon/sunny/mixed/3x/frame_0275.png,afternoon,sunny,mixed,3x,afternoon/sunny/mixed/3x/frame_0275.compare.jpg,3.7391007163095717,31.657958984375,31.584575653076172,0.8167360744023027,1.0191323226478248,0.7874085908277959,0.8450640298265522,0.9074323942529124,1.3390770923125574,0.3194713592529297,0.5671190023422241,9.0,1,oversharpening_or_ringing_risk,5.253134212439034,47.12811279296875,70.77666473388672,0.673529998950552,0.9863590475349582,0.5788999009247542,0.6723293888798832,0.8366755332696246,1.520738069397391,5.977712631225586,1.405683159828186,17.0,3,oversharpening_or_ringing_risk;tone_or_color_shift;large_raw_deviation,4.9913178419037845,35.490234375,46.93023681640625,0.6918325659132608,1.0008614128630358,0.5899147742749918,0.7286663733413612,0.8583555851134068,1.4683174109448436,4.969274044036865,1.270246148109436,15.0,3,oversharpening_or_ringing_risk;tone_or_color_shift;large_raw_deviation,1.514033496129462,15.47015380859375,39.19208908081055,-0.14320607545175068,-0.03277327511286665,-0.20850868990304172,-0.1727346409466689,-0.07075686098328782,0.18166097708483364,5.658241271972656,0.8385641574859619,8.0,2,1.2522171255942127,3.832275390625,15.345661163330078,-0.12490350848904186,-0.01827090978478907,-0.19749381655280407,-0.11639765648519096,-0.04907680913950563,0.12924031863228613,4.6498026847839355,0.7031271457672119,6.0,2
afternoon/sunny/mixed/5x/frame_0425.png,afternoon,sunny,mixed,5x,afternoon/sunny/mixed/5x/frame_0425.compare.jpg,4.164554050003669,33.33447265625,29.495159149169922,0.8286761780176319,1.0138768690789,0.5144769584279488,0.47582582487909764,0.8614613504859759,1.3389380922488507,0.31152284145355225,0.6151798963546753,10.0,1,oversharpening_or_ringing_risk,5.523516920157111,53.335205078125,75.87361145019531,0.655079828495369,0.8774215738620523,0.3076224033771868,0.30792123531674226,0.6781897190123651,1.5055549917629736,5.79603910446167,1.5718414783477783,18.0,4,oversmoothing_risk;oversharpening_or_ringing_risk;tone_or_color_shift;large_raw_deviation,4.5014425353961505,40.40606689453125,47.298866271972656,0.7100090734260749,0.934719924198586,0.34143270855420044,0.3638705162075423,0.7403693774539901,1.4603246618898935,4.76099157333374,1.2422603368759155,15.0,3,oversharpening_or_ringing_risk;tone_or_color_shift;large_raw_deviation,1.3589628701534426,20.000732421875,46.37845230102539,-0.17359634952226288,-0.13645529521684763,-0.206854555050762,-0.16790458956235538,-0.1832716314736108,0.16661689951412284,5.484516263008118,0.956661581993103,8.0,3,0.33688848539248184,7.07159423828125,17.803707122802734,-0.11866710459155705,-0.079156944880314,-0.1730442498737484,-0.11195530867155534,-0.12109197303198582,0.12138656964104277,4.449468731880188,0.6270804405212402,5.0,2
afternoon/sunny/mixed/7x/frame_0575.png,afternoon,sunny,mixed,7x,afternoon/sunny/mixed/7x/frame_0575.compare.jpg,4.427250131656663,35.3907470703125,20.362560272216797,0.8159673225888953,0.8958862156511961,0.3332672674816477,0.424476434827669,0.8170752754749833,1.232741826549868,0.27410888671875,0.5622680187225342,8.0,1,oversharpening_or_ringing_risk,6.746052115224424,55.5609130859375,77.45864868164062,0.5301698148744115,0.6079584194597265,0.12880849282927906,0.14787898703673277,0.5086339669456854,1.6897010599175726,5.684475421905518,1.3854022026062012,16.0,4,oversmoothing_risk;oversharpening_or_ringing_risk;tone_or_color_shift;large_raw_deviation,5.097771937936409,39.18988037109375,41.442298889160156,0.6228359253507413,0.7329674796899066,0.16584249801332782,0.22419669451430932,0.6200857521326104,1.45303817020061,4.0886688232421875,1.1463462114334106,13.0,3,oversmoothing_risk;oversharpening_or_ringing_risk;tone_or_color_shift,2.318801983567761,20.170166015625,57.09608840942383,-0.28579750771448376,-0.2879277961914696,-0.20445877465236864,-0.2765974477909362,-0.30844130852929785,0.4569592333677046,5.410366535186768,0.823134183883667,8.0,3,0.670521806279746,3.79913330078125,21.07973861694336,-0.19313139723815398,-0.16291873596128947,-0.16742476946831988,-0.20027974031335968,-0.19698952334237285,0.22029634365074213,3.8145599365234375,0.5840781927108765,5.0,2
afternoon/sunny/road_shaded/1x/frame_1725.png,afternoon,sunny,road_shaded,1x,afternoon/sunny/road_shaded/1x/frame_1725.compare.jpg,3.198558243479375,28.602294921875,30.69647216796875,0.949197017269658,1.0109254604148354,0.8941078187476141,0.9628200648618855,0.9979018662474851,0.9873781137126837,0.37591272592544556,0.8863105177879333,7.0,0,balanced,3.7871163806954606,42.2762451171875,48.38346862792969,0.8338131080151054,0.9129714441409336,0.4486241482767678,0.7531828091397189,0.8507627813502139,1.0253410264170528,6.018617630004883,2.2212979793548584,22.0,2,tone_or_color_shift;large_raw_deviation,4.113466326713285,37.80328369140625,42.66291046142578,0.8675361177937926,0.9666144171731931,0.5244712145435513,0.8352370313138223,0.9164823708750204,1.0494232389968292,5.371486186981201,1.9279518127441406,19.0,2,tone_or_color_shift;large_raw_deviation,0.5885581372160855,13.6739501953125,17.686996459960938,-0.11538390925455255,-0.09795401627390188,-0.44548367047084636,-0.20963725572216663,-0.14713908489727123,0.037962912704369134,5.642704904079437,1.334987461566925,15.0,2,0.9149080832339096,9.20098876953125,11.966438293457031,-0.08166089947586541,-0.04431104324164237,-0.36963660420406286,-0.12758303354806322,-0.08141949537246473,0.06204512528414552,4.995573461055756,1.0416412949562073,12.0,2
afternoon/sunny/road_shaded/3x/frame_2925.png,afternoon,sunny,road_shaded,3x,afternoon/sunny/road_shaded/3x/frame_2925.compare.jpg,3.8735292709417988,32.22216796875,24.116365432739258,0.9015234694990402,1.0189494983551963,0.8671852488822416,0.8901214533837064,0.9636796774459624,1.0606014607487615,0.2325170487165451,0.646869957447052,6.0,0,balanced,4.720161070210264,63.630859375,51.831878662109375,0.7805257646662331,0.9142429779193347,0.4793479725394776,0.6800924634667884,0.8181052611039813,1.1929285458910057,5.902431488037109,1.5507529973983765,17.0,4,oversmoothing_risk;oversharpening_or_ringing_risk;tone_or_color_shift;large_raw_deviation,4.550778230059546,46.35693359375,37.63139724731445,0.7952377441118494,0.9706169974153731,0.5549816345953398,0.7548027755943778,0.8764012626152882,1.1652095612646203,4.857085227966309,1.2337565422058105,14.0,2,oversharpening_or_ringing_risk;tone_or_color_shift,0.8466317992684655,31.40869140625,27.715513229370117,-0.12099770483280703,-0.1047065204358616,-0.387837276342764,-0.21002898991691799,-0.1455744163419811,0.13232708514224423,5.669914439320564,0.9038830399513245,11.0,4,0.6772489591177471,14.134765625,13.515031814575195,-0.10628572538719072,-0.04833250093982322,-0.3122036142869018,-0.1353186777893286,-0.08727841483067422,0.10460810051585878,4.6245681792497635,0.5868865847587585,8.0,2
