model,niqe,brisque,piqe,flat_hf_ratio,strong_edge_grad_ratio,sharpness_ratio,edge_density_ratio,hf_energy_ratio,ringing_ratio,raw_output_lowfreq_luma_mae,raw_output_chroma_mae,raw_output_diff_p95,risk_score
deploy,5.453346025346137,33.420713878813245,28.69100722812471,0.8279338279201409,0.9233523124488455,0.6096506844047005,0.770792624832005,0.8741784316826001,1.0680227942104583,0.24938026106073743,0.556279433625085,7.523809523809524,0.5238095238095238
mtkd,6.415088317599844,52.88421194893973,63.93343598502023,0.63907477031098,0.726229451781602,0.31249736528872446,0.493787130620862,0.6528110716378386,1.1029164484201799,5.781393755049932,1.4536267831211998,16.285714285714285,2.7857142857142856
stkd,6.095799492925564,42.36976114908854,44.788239683423726,0.6865338957599764,0.8008902196231785,0.35767479463412205,0.5622801961963046,0.7240197669384419,1.099134097456542,4.663824382282439,1.1948676123505546,13.714285714285714,2.261904761904762
