relative_path,time_of_day,weather,scene,zoom,model,config,checkpoint,output_path,raw_sharpness_laplacian_var,raw_tenengrad,raw_edge_density,raw_hf_energy,raw_ringing_proxy,raw_local_contrast,raw_luma_mean,raw_luma_std,raw_saturation_mean,raw_niqe,raw_brisque,raw_piqe,output_sharpness_laplacian_var,output_tenengrad,output_edge_density,output_hf_energy,output_ringing_proxy,output_local_contrast,output_luma_mean,output_luma_std,output_saturation_mean,raw_output_rgb_mae,raw_output_diff_p95,output_minus_raw_luma_mean,raw_output_lowfreq_luma_mae,raw_output_chroma_mae,flat_raw_hf,flat_output_hf,flat_hf_ratio,strong_edge_raw_grad,strong_edge_output_grad,strong_edge_grad_ratio,output_niqe,output_brisque,output_piqe,niqe,output_minus_raw_niqe,brisque,output_minus_raw_brisque,piqe,output_minus_raw_piqe,sharpness_ratio,edge_density_ratio,hf_energy_ratio,ringing_ratio,failure_labels,risk_score,comparison_path
afternoon/sunny/building/1x/frame_3825.png,afternoon,sunny,building,1x,deploy,checkpoints/csuav_deploy/train_svfocusdenoise_adv_x1_dim32_block3_epoch300_lr1e-4_charbonnier_edge_ssim_hotpixel_260309/train_config.yaml,checkpoints/csuav_deploy/train_svfocusdenoise_adv_x1_dim32_block3_epoch300_lr1e-4_charbonnier_edge_ssim_hotpixel_260309/best.pth,outputs/deploy/afternoon/sunny/building/1x/frame_3825.png,570.9905395507812,11974.37109375,0.08371431327160493,8.853151321411133,10.747563362121582,26.75819206237793,135.84548950195312,67.64742279052734,21.031055450439453,4.203732868091533,32.169677734375,42.658390045166016,530.33349609375,13005.3662109375,0.0806225887345679,8.986289978027344,10.822848320007324,27.188915252685547,136.1992645263672,67.96112060546875,20.859960556030273,1.8833357095718384,6.0,0.3537364900112152,0.35421624779701233,0.5431018471717834,2.360750913619995,2.1896772384643555,0.9275342120303095,239.96920776367188,252.7928924560547,1.053438875811983,5.193214958106761,43.513916015625,50.348873138427734,5.193214958106761,0.9894820900152279,43.513916015625,11.34423828125,50.348873138427734,7.690483093261719,0.9287955917990908,0.9630681490869291,1.0150385610482244,1.0070048396412414,balanced,0,afternoon/sunny/building/1x/frame_3825.compare.jpg
afternoon/sunny/building/3x/frame_3925.png,afternoon,sunny,building,3x,deploy,checkpoints/csuav_deploy/train_svfocusdenoise_adv_x1_dim32_block3_epoch300_lr1e-4_charbonnier_edge_ssim_hotpixel_260309/train_config.yaml,checkpoints/csuav_deploy/train_svfocusdenoise_adv_x1_dim32_block3_epoch300_lr1e-4_charbonnier_edge_ssim_hotpixel_260309/best.pth,outputs/deploy/afternoon/sunny/building/3x/frame_3925.png,306.1339416503906,6472.859375,0.046677276234567903,5.949525833129883,10.02618408203125,19.446704864501953,135.15357971191406,65.6064453125,18.911422729492188,4.4727434853393016,14.56884765625,37.73523712158203,278.5822448730469,7267.1298828125,0.04517168209876543,5.951379299163818,10.641036987304688,19.724523544311523,135.37551879882812,65.7769775390625,18.947267532348633,1.543553352355957,6.0,0.22207175195217133,0.22305189073085785,0.3672475516796112,1.1664670705795288,1.080910325050354,0.9266530983282124,163.5525360107422,172.97996520996094,1.0576415959615542,5.758497900521137,22.58648681640625,44.41748809814453,5.758497900521137,1.2857544151818354,22.58648681640625,8.01763916015625,44.41748809814453,6.6822509765625,0.9100011693286588,0.9677446017150532,1.000311531723018,1.0613247173842904,balanced,0,afternoon/sunny/building/3x/frame_3925.compare.jpg
afternoon/sunny/building/5x/frame_4025.png,afternoon,sunny,building,5x,deploy,checkpoints/csuav_deploy/train_svfocusdenoise_adv_x1_dim32_block3_epoch300_lr1e-4_charbonnier_edge_ssim_hotpixel_260309/train_config.yaml,checkpoints/csuav_deploy/train_svfocusdenoise_adv_x1_dim32_block3_epoch300_lr1e-4_charbonnier_edge_ssim_hotpixel_260309/best.pth,outputs/deploy/afternoon/sunny/building/5x/frame_4025.png,106.16556549072266,1608.0489501953125,0.02855324074074074,3.135908603668213,8.097586631774902,15.770543098449707,131.60858154296875,68.28229522705078,28.180789947509766,6.328207898640507,33.22528076171875,29.057634353637695,39.489227294921875,2105.219482421875,0.02188126929012346,3.227632761001587,10.827024459838867,16.393068313598633,131.77365112304688,68.67176055908203,27.81026268005371,1.728230595588684,7.0,0.16505450010299683,0.1766921728849411,0.4207462966442108,0.6564655900001526,0.5724117755889893,0.8719600605248117,84.74070739746094,89.87033081054688,1.0605331672418825,6.128631397079159,44.86614990234375,37.73268508911133,6.128631397079159,-0.19957650156134754,44.86614990234375,11.640869140625,37.73268508911133,8.675050735473633,0.3719589031753678,0.7663322523983246,1.0292496271179843,1.3370680614090202,oversharpening_or_ringing_risk,1,afternoon/sunny/building/5x/frame_4025.compare.jpg
afternoon/sunny/building/7x/frame_4175.png,afternoon,sunny,building,7x,deploy,checkpoints/csuav_deploy/train_svfocusdenoise_adv_x1_dim32_block3_epoch300_lr1e-4_charbonnier_edge_ssim_hotpixel_260309/train_config.yaml,checkpoints/csuav_deploy/train_svfocusdenoise_adv_x1_dim32_block3_epoch300_lr1e-4_charbonnier_edge_ssim_hotpixel_260309/best.pth,outputs/deploy/afternoon/sunny/building/7x/frame_4175.png,97.45509338378906,929.3801879882812,0.008720100308641975,2.463914394378662,7.08981990814209,12.009684562683105,132.52590942382812,69.70408630371094,35.32742691040039,7.1138087043933975,33.726959228515625,25.145158767700195,19.183767318725586,974.0484619140625,0.011371045524691358,2.0251314640045166,8.24997615814209,11.847764015197754,132.70338439941406,69.92103576660156,34.930233001708984,1.5929412841796875,6.0,0.17749035358428955,0.19087733328342438,0.3818202614784241,0.7023454904556274,0.5771839022636414,0.8217948432888906,62.507564544677734,56.85295486450195,0.9095371940761808,6.945549779824987,41.53485107421875,20.029325485229492,6.945549779824987,-0.16825892456841096,41.53485107421875,7.807891845703125,20.029325485229492,-5.115833282470703,0.19684725192533306,1.3040039818604137,0.8219163249440752,1.1636369139176093,oversharpening_or_ringing_risk,1,afternoon/sunny/building/7x/frame_4175.compare.jpg
afternoon/sunny/mixed/1x/frame_0125.png,afternoon,sunny,mixed,1x,deploy,checkpoints/csuav_deploy/train_svfocusdenoise_adv_x1_dim32_block3_epoch300_lr1e-4_charbonnier_edge_ssim_hotpixel_260309/train_config.yaml,checkpoints/csuav_deploy/train_svfocusdenoise_adv_x1_dim32_block3_epoch300_lr1e-4_charbonnier_edge_ssim_hotpixel_260309/best.pth,outputs/deploy/afternoon/sunny/mixed/1x/frame_0125.png,1767.4268798828125,27150.90234375,0.10564236111111111,13.855549812316895,13.48844051361084,29.575029373168945,130.06640625,60.92420959472656,70.00938415527344,3.4180152765950247,65.93377685546875,49.34072494506836,1405.051025390625,26966.658203125,0.09625964506172839,12.305004119873047,17.27605438232422,27.61318588256836,130.30923461914062,60.970516204833984,69.6931381225586,3.096024990081787,10.0,0.24279899895191193,0.25241443514823914,0.6610108017921448,5.466542720794678,4.179651260375977,0.764587688023844,367.6221923828125,371.1478271484375,1.0095903752240116,3.4020862518566743,22.29833984375,30.83624267578125,3.4020862518566743,-0.01592902473835034,22.29833984375,-43.63543701171875,30.83624267578125,-18.50448226928711,0.7949698182047483,0.9111841504610608,0.8880920848723384,1.2808044313863707,oversharpening_or_ringing_risk,1,afternoon/sunny/mixed/1x/frame_0125.compare.jpg
afternoon/sunny/mixed/3x/frame_0275.png,afternoon,sunny,mixed,3x,deploy,checkpoints/csuav_deploy/train_svfocusdenoise_adv_x1_dim32_block3_epoch300_lr1e-4_charbonnier_edge_ssim_hotpixel_260309/train_config.yaml,checkpoints/csuav_deploy/train_svfocusdenoise_adv_x1_dim32_block3_epoch300_lr1e-4_charbonnier_edge_ssim_hotpixel_260309/best.pth,outputs/deploy/afternoon/sunny/mixed/3x/frame_0275.png,1254.767578125,22787.55078125,0.10412567515432099,12.674996376037598,12.955726623535156,26.324865341186523,122.9809341430664,57.45077133178711,60.176151275634766,3.345829198454528,59.2137451171875,40.75177001953125,988.0147705078125,22936.267578125,0.08799286265432099,11.501702308654785,17.348716735839844,24.9017391204834,123.29691314697266,57.648338317871094,59.997737884521484,2.7578201293945312,9.0,0.3160141706466675,0.3194713592529297,0.5671190023422241,4.42101526260376,3.61080265045166,0.8167360744023027,334.575927734375,340.9771423339844,1.0191323226478248,3.7391007163095717,31.657958984375,31.584575653076172,3.7391007163095717,0.39327151785504366,31.657958984375,-27.5557861328125,31.584575653076172,-9.167194366455078,0.7874085908277959,0.8450640298265522,0.9074323942529124,1.3390770923125574,oversharpening_or_ringing_risk,1,afternoon/sunny/mixed/3x/frame_0275.compare.jpg
afternoon/sunny/mixed/5x/frame_0425.png,afternoon,sunny,mixed,5x,deploy,checkpoints/csuav_deploy/train_svfocusdenoise_adv_x1_dim32_block3_epoch300_lr1e-4_charbonnier_edge_ssim_hotpixel_260309/train_config.yaml,checkpoints/csuav_deploy/train_svfocusdenoise_adv_x1_dim32_block3_epoch300_lr1e-4_charbonnier_edge_ssim_hotpixel_260309/best.pth,outputs/deploy/afternoon/sunny/mixed/5x/frame_0425.png,573.2396850585938,9698.8916015625,0.15296971450617283,9.448613166809082,9.4631929397583,20.56756591796875,141.6194305419922,49.35408401489258,52.82444763183594,3.7574915802962257,36.21124267578125,40.403194427490234,294.9186096191406,9757.6923828125,0.07278694058641975,8.139615058898926,12.670629501342773,19.350975036621094,141.92613220214844,49.656822204589844,52.3992919921875,3.2165489196777344,10.0,0.3067573308944702,0.31152284145355225,0.6151798963546753,4.9158220291137695,4.073624610900879,0.8286761780176319,204.64915466308594,207.48904418945312,1.0138768690789,4.164554050003669,33.33447265625,29.495159149169922,4.164554050003669,0.407062469707443,33.33447265625,-2.87677001953125,29.495159149169922,-10.908035278320312,0.5144769584279488,0.47582582487909764,0.8614613504859759,1.3389380922488507,oversharpening_or_ringing_risk,1,afternoon/sunny/mixed/5x/frame_0425.compare.jpg
afternoon/sunny/mixed/7x/frame_0575.png,afternoon,sunny,mixed,7x,deploy,checkpoints/csuav_deploy/train_svfocusdenoise_adv_x1_dim32_block3_epoch300_lr1e-4_charbonnier_edge_ssim_hotpixel_260309/train_config.yaml,checkpoints/csuav_deploy/train_svfocusdenoise_adv_x1_dim32_block3_epoch300_lr1e-4_charbonnier_edge_ssim_hotpixel_260309/best.pth,outputs/deploy/afternoon/sunny/mixed/7x/frame_0575.png,357.37725830078125,4163.63818359375,0.11446903935185185,6.752402305603027,7.184425354003906,14.510510444641113,144.8164520263672,31.998489379882812,34.623111724853516,4.062443685043314,35.56842041015625,24.044631958007812,119.10214233398438,3776.01953125,0.04858940972222222,5.517220973968506,8.856541633605957,13.548968315124512,145.08973693847656,32.0999870300293,34.15974807739258,2.790225028991699,8.0,0.273220956325531,0.27410888671875,0.5622680187225342,4.979928493499756,4.0634589195251465,0.8159673225888953,123.15348815917969,110.33151245117188,0.8958862156511961,4.427250131656663,35.3907470703125,20.362560272216797,4.427250131656663,0.3648064466133496,35.3907470703125,-0.17767333984375,20.362560272216797,-3.6820716857910156,0.3332672674816477,0.424476434827669,0.8170752754749833,1.232741826549868,oversharpening_or_ringing_risk,1,afternoon/sunny/mixed/7x/frame_0575.compare.jpg
afternoon/sunny/road_shaded/1x/frame_1725.png,afternoon,sunny,road_shaded,1x,deploy,checkpoints/csuav_deploy/train_svfocusdenoise_adv_x1_dim32_block3_epoch300_lr1e-4_charbonnier_edge_ssim_hotpixel_260309/train_config.yaml,checkpoints/csuav_deploy/train_svfocusdenoise_adv_x1_dim32_block3_epoch300_lr1e-4_charbonnier_edge_ssim_hotpixel_260309/best.pth,outputs/deploy/afternoon/sunny/road_shaded/1x/frame_1725.png,1929.2337646484375,28046.02734375,0.19598861882716048,16.5650577545166,11.473057746887207,35.046104431152344,129.55865478515625,63.08814239501953,57.967124938964844,2.8606690542913484,27.06793212890625,27.634788513183594,1724.9429931640625,28518.859375,0.18870177469135802,16.530302047729492,11.328246116638184,35.273902893066406,129.92910766601562,63.38615036010742,57.996376037597656,2.3653860092163086,7.0,0.3704528212547302,0.37591272592544556,0.8863105177879333,5.558093070983887,5.275725364685059,0.949197017269658,360.87994384765625,364.8227233886719,1.0109254604148354,3.198558243479375,28.602294921875,30.69647216796875,3.198558243479375,0.3378891891880267,28.602294921875,1.53436279296875,30.69647216796875,3.0616836547851562,0.8941078187476141,0.9628200648618855,0.9979018662474851,0.9873781137126837,balanced,0,afternoon/sunny/road_shaded/1x/frame_1725.compare.jpg
afternoon/sunny/road_shaded/3x/frame_2925.png,afternoon,sunny,road_shaded,3x,deploy,checkpoints/csuav_deploy/train_svfocusdenoise_adv_x1_dim32_block3_epoch300_lr1e-4_charbonnier_edge_ssim_hotpixel_260309/train_config.yaml,checkpoints/csuav_deploy/train_svfocusdenoise_adv_x1_dim32_block3_epoch300_lr1e-4_charbonnier_edge_ssim_hotpixel_260309/best.pth,outputs/deploy/afternoon/sunny/road_shaded/3x/frame_2925.png,1026.4913330078125,15490.6220703125,0.11411747685185185,10.752687454223633,9.335994720458984,25.238632202148438,130.49266052246094,59.5041618347168,46.185611724853516,3.4512577423488535,35.1444091796875,24.934329986572266,890.1581420898438,15831.068359375,0.10157841435185185,10.362146377563477,9.901769638061523,25.243114471435547,130.7137908935547,59.72493362426758,46.5993766784668,2.1097092628479004,6.0,0.22109664976596832,0.2325170487165451,0.646869957447052,3.779827833175659,3.4076035022735596,0.9015234694990402,270.813232421875,275.94500732421875,1.0189494983551963,3.8735292709417988,32.22216796875,24.116365432739258,3.8735292709417988,0.42227152859294526,32.22216796875,-2.9222412109375,24.116365432739258,-0.8179645538330078,0.8671852488822416,0.8901214533837064,0.9636796774459624,1.0606014607487615,balanced,0,afternoon/sunny/road_shaded/3x/frame_2925.compare.jpg
