model,time_of_day,weather,scene,flat_hf_ratio,strong_edge_grad_ratio,niqe,brisque,piqe,raw_output_lowfreq_luma_mae,raw_output_chroma_mae,risk_score
deploy,afternoon,sunny,building,0.8869855535430561,1.0202877082729,6.006473508883011,38.12535095214844,38.13209295272827,0.23620941117405891,0.4282289892435074,0.5
deploy,afternoon,sunny,mixed,0.8064918157581684,0.9846214456504832,3.9332477874566445,30.670379638671875,28.069634437561035,0.28937938064336777,0.6013944298028946,1.0
deploy,afternoon,sunny,road_shaded,0.9005308123559697,0.9571619116899235,3.8569162758686533,28.165328979492188,25.338993072509766,0.294787485152483,0.7158341854810715,0.25
deploy,morning,cloudy,building,0.9100840464613498,1.0752498692875168,5.864616109748635,36.539337158203125,42.30992889404297,0.2185903675854206,0.37902312725782394,0.75
deploy,morning,cloudy,mixed,0.8579459217368056,1.023900170839585,4.192230317775098,33.653350830078125,28.496127128601074,0.2964068204164505,0.5061935111880302,0.5
deploy,morning,cloudy,road_shaded,0.8843515956223333,1.0123378660161713,4.308542966411535,30.474899291992188,24.908331871032715,0.2584448903799057,0.6222851648926735,0.0
deploy,morning,sunny,building,0.9198949608201443,1.0547543002343787,5.4530050992678145,28.130462646484375,45.466135025024414,0.2621763311326504,0.4669986888766289,0.25
deploy,morning,sunny,dark,0.8662561048784201,0.9223837710858913,7.484599918363388,46.20111083984375,30.155245780944824,0.25896014273166656,1.231045663356781,0.0
deploy,morning,sunny,flat,0.40299183714321174,0.28188169386367423,11.286543353214977,47.95231628417969,4.627279281616211,0.20253073424100876,0.5189034193754196,1.25
deploy,morning,sunny,mixed,0.8040347895010822,0.8311807006697864,4.555650073902111,23.014541625976562,20.87445902824402,0.17195967957377434,0.3373025804758072,0.75
deploy,morning,sunny,road_shaded,0.8868658077801488,0.9926317286455129,4.060607814424272,31.090972900390625,27.954971313476562,0.25852756947278976,0.6492471247911453,0.25
mtkd,afternoon,sunny,building,0.7635731009824422,0.8443411795922956,7.128996486092364,61.31013488769531,72.535719871521,5.852659344673157,1.3111165165901184,2.25
mtkd,afternoon,sunny,mixed,0.6250643345881515,0.8617216617579352,5.609500187979826,49.435882568359375,72.91917037963867,5.7205963134765625,1.5142608284950256,3.5
mtkd,afternoon,sunny,road_shaded,0.7459301482703329,0.8109255984190126,4.626513666080535,49.47209167480469,49.47750759124756,6.001932740211487,1.8611847758293152,3.25
mtkd,morning,cloudy,building,0.7697484186206547,0.8399069453150473,6.981354053279084,57.4156494140625,78.34879302978516,6.008177280426025,1.1701149642467499,2.0
mtkd,morning,cloudy,mixed,0.6515497303901008,0.8271114533766153,5.345170300660396,52.27137756347656,72.18257331848145,5.618656635284424,1.3318640291690826,3.5
mtkd,morning,cloudy,road_shaded,0.7231702002016722,0.8741039885477717,5.37750206888473,51.331390380859375,54.78654861450195,6.027233958244324,1.6941021084785461,2.25
mtkd,morning,sunny,building,0.8276811893477585,0.9072807656817354,6.388841579137025,46.268951416015625,80.28615379333496,5.938254117965698,1.3455060124397278,1.5
mtkd,morning,sunny,dark,0.45695262070028997,0.4328457168538893,9.725869010410342,63.46209716796875,55.92773246765137,4.838741779327393,2.4527748823165894,3.0
mtkd,morning,sunny,flat,0.1295860868139812,0.0897998959734145,9.453301321438508,43.88737487792969,41.357632637023926,5.610758423805237,1.0172152817249298,3.0
mtkd,morning,sunny,mixed,0.5361439675093936,0.5238963370612636,6.368023913060564,57.972412109375,65.6150074005127,5.5260337591171265,1.0951199233531952,3.25
mtkd,morning,sunny,road_shaded,0.7093616011906577,0.829898559554785,5.216289252980157,54.18791198730469,55.828104972839355,5.980960965156555,1.696209341287613,3.25
stkd,afternoon,sunny,building,0.7862097842189387,0.9062446943156155,6.649539623115986,54.189048767089844,58.57201290130615,4.958310127258301,1.116582676768303,2.25
stkd,afternoon,sunny,mixed,0.6744791734498422,0.913659232132858,4.836778787088323,36.19075012207031,46.54369354248047,4.643655180931091,1.310986191034317,3.0
stkd,afternoon,sunny,road_shaded,0.7838332439117237,0.884196019099947,4.391925269762805,37.97462463378906,37.20508050918579,5.00798237323761,1.5411835014820099,2.25
stkd,morning,cloudy,building,0.8028687819237414,0.9260528385987624,6.599552827656549,48.207305908203125,62.394572257995605,4.640905737876892,0.9218123853206635,1.75
stkd,morning,cloudy,mixed,0.7210591132945298,0.9124658226690182,4.87532103327845,41.944549560546875,48.621710777282715,4.476446866989136,1.1094253957271576,2.75
stkd,morning,cloudy,road_shaded,0.7653081082320976,0.9288493093426671,5.097966029606183,40.553680419921875,39.62494659423828,4.70196932554245,1.3308539539575577,1.75
stkd,morning,sunny,building,0.8627256525738617,0.9690505380990014,6.097974218292832,36.95494079589844,61.072418212890625,4.560269355773926,1.0905709713697433,1.5
stkd,morning,sunny,dark,0.44866060488259774,0.46143397533756136,9.878096764854128,57.573944091796875,54.58218955993652,5.837106227874756,2.33175528049469,3.0
stkd,morning,sunny,flat,0.24655679931211832,0.21233505584101503,10.258319946498126,36.21437072753906,7.413788080215454,3.755760431289673,0.7785037606954575,2.5
stkd,morning,sunny,mixed,0.5979617681498763,0.6268815514862086,5.380950363093106,40.83538055419922,38.875200271606445,4.403125822544098,0.8317640870809555,2.5
stkd,morning,sunny,road_shaded,0.743273177971723,0.8988952567894999,4.878518194899003,43.03086853027344,42.6619987487793,4.9031776785850525,1.3485493659973145,2.0
