model,zoom,flat_hf_ratio,strong_edge_grad_ratio,niqe,brisque,piqe,raw_output_lowfreq_luma_mae,raw_output_chroma_mae,risk_score
deploy,1x,0.8683476431877005,0.9666800597446255,4.785638537499241,33.9493574662642,34.01764765652743,0.30795813690532337,0.7006041786887429,0.2727272727272727
deploy,3x,0.8400372806607086,0.9582667254747284,5.277070810131951,31.627911376953126,30.03871932029724,0.23127617686986923,0.46756623685359955,0.3
deploy,5x,0.8440874266449454,0.9366949964936333,5.254468451088309,32.24564208984375,30.217705154418944,0.24508823305368424,0.5516308099031448,0.7
deploy,7x,0.7618317840476976,0.8361544769070012,6.462101503622139,35.59013782848012,20.751266782934014,0.21116248721426184,0.49682907082817773,0.8181818181818182
mtkd,1x,0.6807547014683786,0.7974864584783972,5.508618708227715,52.09010731090199,62.26913209394975,5.656171061775901,1.6940917426889592,2.4545454545454546
mtkd,3x,0.6617168057380364,0.791115219935452,6.1271328242940415,52.829489135742186,67.0221981048584,5.8059944152832035,1.2679020166397095,2.5
mtkd,5x,0.6762994864295409,0.7505231882760868,6.195533427798514,49.968359375,65.89960556030273,6.010070371627807,1.547726571559906,3.0
mtkd,7x,0.5429705195666568,0.5739001681317751,7.7829310025239105,56.37883966619318,61.002347425981,5.6763643784956495,1.2964572581377896,3.1818181818181817
stkd,1x,0.7299314628046644,0.8636195331028017,5.634817452844185,46.06598455255682,52.62243730371649,5.029151699759743,1.461502649567344,2.0
stkd,3x,0.7064772135511033,0.8652944590548157,5.99142364314286,39.33409423828125,46.668996047973636,4.5186586618423465,0.983732283115387,1.7
stkd,5x,0.7205004061039354,0.8290332755310799,5.800978072867339,40.05778503417969,45.27486457824707,4.8610100746154785,1.2974394977092742,2.4
stkd,7x,0.5941273940470283,0.6540270012894294,6.919688141953244,43.53503140536222,34.80187728188255,4.251206181266091,1.0269266150214456,2.909090909090909
