file_path,scene_label,time_label,zoom_label,width,height,mean_r,mean_g,mean_b,std_r,std_g,std_b,mean_y,std_y,mean_cr,mean_cb,tint_rg,tint_bg,edge_density,high_freq_energy,dark_region_ratio,dark_noise_std,hot_pixel_ratio,hot_pixel_count,temporal_noise
/home/jshong/Code/unfied-sr-denoise-platform/results/mc_g105_capture_dim32/day/1x/frame_1401.png,1x,day,1x,1920,1080,118.0075912475586,120.998779296875,116.60774230957031,53.589630126953125,51.538818359375,56.12044906616211,119.60274505615234,52.247406005859375,126.84296417236328,126.33134460449219,-2.9911880493164062,-4.3910369873046875,0.11848042052469136,661.8399658203125,0.07612413194444445,12.656698226928711,0.00030671296296296295,636,1.7059770822525024
/home/jshong/Code/unfied-sr-denoise-platform/results/mc_g105_capture_dim32/day/1x/frame_1402.png,1x,day,1x,1920,1080,118.00926208496094,121.00637817382812,116.58824157714844,53.60218048095703,51.54844665527344,56.13573455810547,119.60537719726562,52.25860595703125,126.84259796142578,126.31912994384766,-2.9971160888671875,-4.4181365966796875,0.1185667438271605,661.7750244140625,0.07624807098765432,12.657768249511719,0.00031635802469135804,656,1.7059770822525024
/home/jshong/Code/unfied-sr-denoise-platform/results/mc_g105_capture_dim32/day/1x/frame_1403.png,1x,day,1x,1920,1080,118.0195541381836,121.01602172851562,116.58422088623047,53.60232925415039,51.54944610595703,56.14677429199219,119.61377716064453,52.260196685791016,126.84400177001953,126.31243896484375,-2.9964675903320312,-4.431800842285156,0.11893518518518519,658.7437744140625,0.07617525077160493,12.650223731994629,0.0003587962962962963,744,1.7059770822525024
/home/jshong/Code/unfied-sr-denoise-platform/results/mc_g105_capture_dim32/day/1x/frame_1404.png,1x,day,1x,1920,1080,118.02082824707031,121.01905822753906,116.5908203125,53.60623550415039,51.555389404296875,56.1524658203125,119.61671447753906,52.26531982421875,126.84239196777344,126.31488800048828,-2.99822998046875,-4.4282379150390625,0.1185180362654321,656.10205078125,0.07618537808641976,12.643156051635742,0.00036024305555555554,747,1.7059770822525024
/home/jshong/Code/unfied-sr-denoise-platform/results/mc_g105_capture_dim32/day/1x/frame_1405.png,1x,day,1x,1920,1080,118.02582550048828,121.02272033691406,116.5899887084961,53.61949920654297,51.56874084472656,56.16626739501953,119.62042236328125,52.27878952026367,126.84312438964844,126.31149291992188,-2.9968948364257812,-4.432731628417969,0.11864245756172839,654.0072021484375,0.07621334876543209,12.643355369567871,0.0003559027777777778,738,1.7059770822525024
/home/jshong/Code/unfied-sr-denoise-platform/results/mc_g105_capture_dim32/day/1x/frame_4801.png,1x,day,1x,1920,1080,105.5223388671875,108.64569854736328,106.10948944091797,72.51241302490234,71.5372543334961,72.78411865234375,107.4389877319336,71.87797546386719,126.60000610351562,127.25808715820312,-3.1233596801757812,-2.5362091064453125,0.035693479938271606,103.5752944946289,0.1382325424382716,12.098214149475098,5.063657407407407e-05,105,1.5541625022888184
/home/jshong/Code/unfied-sr-denoise-platform/results/mc_g105_capture_dim32/day/1x/frame_4802.png,1x,day,1x,1920,1080,105.90818786621094,109.02944946289062,106.51199340820312,72.35664367675781,71.37574005126953,72.60704040527344,107.82681274414062,71.71599578857422,126.59674072265625,127.26524353027344,-3.1212615966796875,-2.5174560546875,0.036574556327160494,99.49735260009766,0.13673804012345678,12.065621376037598,5.690586419753086e-05,118,1.5541625022888184
/home/jshong/Code/unfied-sr-denoise-platform/results/mc_g105_capture_dim32/day/1x/frame_4803.png,1x,day,1x,1920,1080,106.09785461425781,109.20616149902344,106.68966674804688,72.28810119628906,71.31090545654297,72.54304504394531,108.0071029663086,71.65055084228516,126.60184478759766,127.2634048461914,-3.108306884765625,-2.5164947509765625,0.03763744212962963,101.60578918457031,0.13611448688271605,11.997957229614258,3.8580246913580246e-05,80,1.5541625022888184
/home/jshong/Code/unfied-sr-denoise-platform/results/mc_g105_capture_dim32/day/1x/frame_4804.png,1x,day,1x,1920,1080,106.23049926757812,109.31649017333984,106.83378601074219,72.22594451904297,71.26705932617188,72.47439575195312,108.12844848632812,71.60003662109375,126.6100845336914,127.27617645263672,-3.0859909057617188,-2.4827041625976562,0.03955295138888889,106.60552978515625,0.13588734567901234,12.000225067138672,5.015432098765432e-05,104,1.5541625022888184
/home/jshong/Code/unfied-sr-denoise-platform/results/mc_g105_capture_dim32/day/1x/frame_4805.png,1x,day,1x,1920,1080,106.25493621826172,109.34842681884766,106.85411071777344,72.25088500976562,71.2769546508789,72.48583984375,108.15625762939453,71.61320495605469,126.60485076904297,127.2721176147461,-3.0934906005859375,-2.4943161010742188,0.04121720679012346,112.17577362060547,0.13595293209876544,11.984977722167969,5.401234567901235e-05,112,1.5541625022888184
/home/jshong/Code/unfied-sr-denoise-platform/results/mc_g105_capture_dim32/day/1x/frame_7301.png,1x,day,1x,1920,1080,101.6648178100586,102.71768188476562,100.90859985351562,79.92036437988281,80.03340148925781,80.85442352294922,102.19406127929688,80.04745483398438,127.59052276611328,127.25330352783203,-1.0528640747070312,-1.80908203125,0.02856047453703704,76.27894592285156,0.1893436535493827,9.791626930236816,4.147376543209877e-05,86,0.4622693359851837
/home/jshong/Code/unfied-sr-denoise-platform/results/mc_g105_capture_dim32/day/1x/frame_7302.png,1x,day,1x,1920,1080,101.64319610595703,102.7081298828125,100.88023376464844,79.9322280883789,80.04085540771484,80.86634826660156,102.1800308227539,80.0564956665039,127.58423614501953,127.24529266357422,-1.0649337768554688,-1.8278961181640625,0.028454378858024692,74.84734344482422,0.1894560185185185,9.791340827941895,4.0027006172839503e-05,83,0.4622693359851837
/home/jshong/Code/unfied-sr-denoise-platform/results/mc_g105_capture_dim32/day/1x/frame_7303.png,1x,day,1x,1920,1080,101.66124725341797,102.71807861328125,100.89063262939453,79.93528747558594,80.04790496826172,80.87342834472656,102.19181823730469,80.0629653930664,127.59014892578125,127.24526977539062,-1.0568313598632812,-1.8274459838867188,0.028471739969135802,74.97029113769531,0.1895037615740741,9.799168586730957,3.809799382716049e-05,79,0.4622693359851837
/home/jshong/Code/unfied-sr-denoise-platform/results/mc_g105_capture_dim32/day/1x/frame_7304.png,1x,day,1x,1920,1080,101.66693115234375,102.72615051269531,100.8958511352539,79.94695281982422,80.05583953857422,80.88158416748047,102.19873809814453,80.07198333740234,127.58916473388672,127.24427795410156,-1.0592193603515625,-1.8302993774414062,0.028390721450617284,75.2666244506836,0.1894116512345679,9.788009643554688,4.1956018518518515e-05,87,0.4622693359851837
/home/jshong/Code/unfied-sr-denoise-platform/results/mc_g105_capture_dim32/day/1x/frame_7305.png,1x,day,1x,1920,1080,101.66416931152344,102.72594451904297,100.88394927978516,79.95480346679688,80.06310272216797,80.89606475830078,102.19586944580078,80.08023071289062,127.58971405029297,127.2399673461914,-1.0617752075195312,-1.8419952392578125,0.028509355709876543,75.26576232910156,0.18950810185185185,9.808847427368164,4.2920524691358025e-05,89,0.4622693359851837
/home/jshong/Code/unfied-sr-denoise-platform/results/mc_g105_capture_dim32/day/2x/frame_1501.png,2x,day,2x,1920,1080,113.80948638916016,115.73735046386719,111.1964340209961,54.05379104614258,52.960426330566406,57.225486755371094,114.6502685546875,53.42046356201172,127.39351654052734,126.07488250732422,-1.9278640747070312,-4.540916442871094,0.13224103009259258,1264.1826171875,0.10827353395061728,11.958941459655762,0.00027102623456790124,562,2.4918835163116455
