time_label,zoom_label,mean_r,mean_g,mean_b,std_r,std_g,std_b,mean_y,std_y,tint_rg,tint_bg,edge_density,high_freq_energy,dark_region_ratio,dark_noise_std,hot_pixel_ratio,hot_pixel_count,temporal_noise
day,1x,108.57254638671876,110.9353261311849,108.010498046875,68.37341028849283,67.31737365722657,69.50476888020833,109.88297424316406,67.67234115600586,-2.362779744466146,-2.9248280843098957,0.05938213734567901,261.1590840657552,0.13374807098765432,11.532555452982585,0.0001907150205761317,395.46666666666664,1.1657614211241405
day,2x,110.99719441731771,112.84595896402995,110.0060546875,66.66397399902344,65.91620763142903,68.09603398640951,111.97531636555989,66.21259180704753,-1.8487645467122396,-2.839904276529948,0.08611548353909465,557.43095703125,0.17444801311728395,12.598704274495443,0.00018534593621399176,384.3333333333333,1.4381735523541768
day,3x,115.52584431966146,117.31833343505859,115.67300872802734,56.02361246744792,54.82769775390625,55.647353108723955,116.59666798909505,55.14379857381185,-1.7924891153971354,-1.64532470703125,0.07319061856995886,304.84207916259766,0.08327192644032921,11.634488042195638,0.00016309799382716047,338.2,1.6998072465260823
day,4x,116.31084391276042,118.17380828857422,116.89408721923829,53.145076243082684,51.53854014078776,52.09613520304362,117.48069356282552,51.896742502848305,-1.8629643758138021,-1.2797210693359375,0.07318000900205761,362.1658821105957,0.09977829218106996,13.048367436726888,0.00019981352880658437,414.3333333333333,2.0153422951698303
day,5x,113.4382837931315,116.14874572753907,115.0126459757487,54.221414438883464,52.065365091959634,52.23959503173828,115.2168467203776,52.45654983520508,-2.7104619344075522,-1.1360997517903646,0.0735299318415638,409.9253791809082,0.0926230066872428,10.862352498372395,0.00020293209876543207,420.8,3.8589163621266684
day,6x,114.5329823811849,117.71924489339193,116.82664388020834,54.444139862060545,51.72001368204753,51.881432342529294,116.66658070882161,52.241581471761066,-3.186262512207031,-0.8926010131835938,0.05440014146090535,267.42741877237955,0.07934622556584363,11.491977310180664,0.00013143004115226338,272.53333333333336,4.514488776524861
day,7x,113.65596389770508,119.76258087158203,120.49909210205078,56.05442314147949,51.213945388793945,49.35722694396973,118.01787719726562,52.1146800994873,-6.106616973876953,0.73651123046875,0.08860513117283951,440.326997089386,0.03402575231481482,7.826311922073364,3.240740740740741e-05,67.2,7.706549882888794
night,1x,91.27706375122071,93.34716415405273,91.20501556396485,55.43191413879394,55.72690010070801,55.78443298339844,92.4777000427246,55.39791831970215,-2.0701004028320313,-2.1421485900878907,0.03606664737654321,174.10130233764647,0.11881153549382717,12.222208213806152,8.550347222222222e-05,177.3,1.7892828583717346
night,2x,90.10512619018554,92.69119262695312,90.4014389038086,50.97031784057617,50.673611068725585,49.87542457580567,91.65349502563477,50.351189041137694,-2.5860664367675783,-2.289753723144531,0.0428530574845679,141.30331420898438,0.11200771604938271,10.659165287017823,4.967206790123457e-05,103.0,2.1850748658180237
night,3x,85.3939582824707,89.082958984375,87.65460357666015,52.196862411499026,51.890733337402345,50.78283615112305,87.82035217285156,51.60652198791504,-3.689000701904297,-1.4283554077148437,0.05301475694444444,144.6031478881836,0.12711410108024693,8.055268573760987,5.8497299382716046e-05,121.3,2.1907936930656433
night,4x,83.43330078125,88.60315399169922,85.39201049804687,47.283821487426756,47.12976303100586,45.6298713684082,86.6923110961914,46.654924392700195,-5.169853210449219,-3.2111434936523438,0.044329378858024696,87.43084297180175,0.102522762345679,9.336952686309814,2.3871527777777776e-05,49.5,1.7341488599777222
night,5x,84.64067230224609,88.63383102416992,84.66758804321289,42.74476356506348,42.78552589416504,41.27741012573242,86.98866806030273,42.26234245300293,-3.993158721923828,-3.9662429809570314,0.048638985339506176,96.7108169555664,0.0896610725308642,9.480936050415039,2.961033950617284e-05,61.4,1.8859294652938843
night,6x,83.01240386962891,87.9587532043457,81.99318237304688,41.582829284667966,41.60768585205078,40.269140625,85.79876327514648,41.043114471435544,-4.946349334716797,-5.9655708312988285,0.023196325231481484,34.405476570129395,0.08292303240740741,10.094833183288575,9.693287037037038e-06,20.1,1.3918964266777039
night,7x,83.87925491333007,87.53914031982421,83.90437316894531,41.39710159301758,41.360965728759766,40.469753646850585,86.02745895385742,40.95065765380859,-3.6598854064941406,-3.6347671508789063,0.0072041377314814815,17.095247268676758,0.0834645061728395,9.861335182189942,9.645061728395062e-08,0.2,1.3882549107074738
