time_label,zoom_label,mean_r,mean_g,mean_b,std_r,std_g,std_b,mean_y,std_y,tint_rg,tint_bg,edge_density,high_freq_energy,dark_region_ratio,dark_noise_std,hot_pixel_ratio,hot_pixel_count,temporal_noise
day,1x,108.38905588785808,110.75371653238932,107.61287587483724,67.99625345865886,66.91704940795898,69.02400258382161,109.632883199056,67.29426549275716,-2.36466064453125,-3.1408406575520833,0.06144016846707819,321.0034556070963,0.1327672003600823,11.273072052001954,0.00016454475308641975,341.2,1.3990094661712646
day,2x,110.86984710693359,112.62193603515625,109.64461161295573,66.39787572224935,65.53037033081054,67.66564687093098,111.74403737386068,65.85516510009765,-1.7520889282226562,-2.9773244222005206,0.09336943801440328,662.947368367513,0.17275861625514405,12.316225878397624,0.00014908050411522634,309.1333333333333,1.738123635450999
day,3x,115.40109049479166,117.09892985026042,115.2764170328776,55.79045613606771,54.481641642252605,55.330788930257164,116.37474568684895,54.83510106404622,-1.69783935546875,-1.8225128173828125,0.07855301568930041,389.0082997639974,0.08218213091563786,11.409701728820801,0.00013387345679012348,277.6,1.9680113395055134
day,4x,116.18134358723958,117.91248830159505,116.52812194824219,52.98935317993164,51.282763417561846,51.8451171875,117.23258260091146,51.65906041463216,-1.7311447143554688,-1.3843663533528645,0.08230803112139919,479.96038411458335,0.09863879243827162,12.808329836527507,0.00016531635802469137,342.8,2.3299193382263184
day,5x,113.30562489827474,115.88386433919271,114.62657775878907,54.04182103474935,51.78748143513997,51.967245992024736,114.94805348714193,52.18651123046875,-2.5782394409179688,-1.257286580403646,0.08220662937242798,518.4225992838542,0.09133844521604938,10.708705774943034,0.00016145833333333333,334.8,4.142470558484395
day,6x,114.39009145100911,117.47232462565104,116.41217142740885,54.2819709777832,51.47978286743164,51.669053141276045,116.37794036865235,52.00765329996745,-3.082233174641927,-1.0601531982421875,0.057288740997942386,332.4092463175456,0.07816116898148148,11.200070126851399,9.612911522633745e-05,199.33333333333334,4.766725619633992
day,7x,113.34325485229492,119.30409622192383,119.81702041625977,56.15985794067383,51.22329216003418,49.488989639282224,117.53782501220704,52.18251037597656,-5.960841369628906,0.5129241943359375,0.10210484182098764,676.4219749450683,0.03461226851851852,8.479653143882752,2.5028935185185186e-05,51.9,8.217870116233826
night,1x,91.02611618041992,93.05735626220704,90.76792907714844,55.157295608520506,55.51479263305664,55.45136604309082,92.13630752563476,55.13654403686523,-2.0312400817871095,-2.2894271850585937,0.03570052083333333,237.19836883544923,0.11739559220679012,12.066246128082275,9.645061728395061e-05,200.0,1.8680465817451477
night,2x,89.8655517578125,92.3991096496582,89.969580078125,50.69024085998535,50.41985244750977,49.5729923248291,91.31066436767578,50.04326171875,-2.533557891845703,-2.429529571533203,0.041680796682098765,204.83238372802734,0.11046595293209875,10.585931968688964,6.611689814814815e-05,137.1,2.2800793647766113
night,3x,85.11759948730469,88.77717971801758,87.19914321899414,51.92375183105469,51.614068603515626,50.46051025390625,87.44495239257813,51.29908638000488,-3.6595802307128906,-1.5780364990234375,0.05316608796296296,229.50033645629884,0.12537644675925924,8.049518013000489,6.823881172839506e-05,141.5,2.3577353954315186
night,4x,83.0767593383789,88.26774520874024,84.8809585571289,47.086934661865236,46.88536911010742,45.42806205749512,86.26877136230469,46.37830810546875,-5.190985870361328,-3.3867866516113283,0.04607282021604938,192.40723419189453,0.10158502121913579,9.239780235290528,3.5397376543209875e-05,73.4,1.937842845916748
night,5x,84.31314620971679,88.29990234375,84.19144897460937,42.50659942626953,42.488612747192384,41.06171340942383,86.57907485961914,41.9271957397461,-3.986756134033203,-4.108453369140625,0.04840576774691358,162.8476348876953,0.0883833912037037,9.396053123474122,3.4143518518518515e-05,70.8,2.009403705596924
night,6x,82.62997970581054,87.64238586425782,81.48766326904297,41.44128227233887,41.39020309448242,40.14571647644043,85.37832641601562,40.78343162536621,-5.0124061584472654,-6.154722595214844,0.02266141010802469,82.48992652893067,0.08243856095679011,9.973609256744385,8.342978395061728e-06,17.3,1.4964311718940735
night,7x,83.54846572875977,87.20809020996094,83.41844329833984,41.36067352294922,41.28412551879883,40.4547779083252,85.61535949707032,40.830330276489256,-3.659624481201172,-3.7896469116210936,0.007942660108024692,64.27248153686523,0.08347472993827161,9.820373916625977,4.822530864197531e-07,1.0,1.4509367942810059
