file_path,relative_path,time_label,weather_label,scene_label,scene_kind,zoom_label,frame_index,frame_number,burst_id,width,height,mean_r,mean_g,mean_b,std_r,std_g,std_b,mean_y,std_y,mean_cr,mean_cb,std_cr,std_cb,tint_rg,tint_bg,g_over_r,g_over_b,green_excess,green_excess_norm,chroma_mottle_std,edge_density,high_freq_energy,dark_region_ratio,dark_noise_std,hot_pixel_ratio,hot_pixel_count,y_clip_low_ratio,y_clip_high_ratio,rgb_clip_low_ratio,rgb_clip_high_ratio,r_clip_high_ratio,g_clip_high_ratio,b_clip_high_ratio,flat_shading_range_norm,flat_center_y,flat_corner_y,flat_center_corner_y_ratio,flat_center_g_over_r,flat_center_g_over_b,frame_count,burst_temporal_noise_mean,burst_temporal_noise_median,burst_temporal_noise_p90,burst_temporal_noise_max,burst_mean_y_std,burst_mean_y_range,burst_mean_y_drift,burst_g_over_r_range,burst_g_over_b_range,burst_green_excess_range,burst_edge_density_range,burst_high_freq_range,burst_high_freq_rel_range,unstable_luma,unstable_color,unstable_detail,unstable_auto,hot_persistence_count_25,hot_persistence_count_50,hot_persistence_count_75,hot_persistence_ratio_25,hot_persistence_ratio_50,hot_persistence_ratio_75,map_temporal_std,map_hot_persistence,map_hot_fixed_mask,map_flat_shading,map_flat_green_excess
/home/jshong/Code/unfied-sr-denoise-platform/results/mc_g105_capture_frames/morning/cloudy/building/1x/frame_4351.png,morning/cloudy/building/1x/frame_4351.png,morning,cloudy,building,outdoor,1x,frame_4351,4351,morning/cloudy/building/1x,1920,1080,135.01841735839844,137.11489868164062,136.18780517578125,57.07411575317383,54.808719635009766,54.66305923461914,136.33438110351562,55.390907287597656,126.98599243164062,127.90451049804688,3.5299930572509766,2.3067474365234375,-2.0964813232421875,-0.927093505859375,1.0155273654419297,1.0068074560556675,1.5117874145507812,0.01108881993834039,1.4576964378356934,0.06364583333333333,325.0937194824219,0.04106963734567901,6.3211350440979,0.0,0,1.9290123456790124e-06,0.002919560185185185,6.124614197530864e-05,0.005784143518518518,0.004996624228395061,0.0030015432098765434,0.0009191743827160494,0.8082474073196487,143.75119018554688,128.48043823242188,1.1188566216332754,1.0144663143591302,1.0091479751895513,50,20.02492904663086,16.050220489501953,42.17255325317383,92.27474975585938,1.2244707345962524,4.50836181640625,-4.4766082763671875,0.0025905370712280273,0.004449248313903809,0.47027587890625,0.026494015008211136,312.75732421875,0.8966657279211984,False,False,True,True,0,0,0,0.0,0.0,0.0,,,,,
/home/jshong/Code/unfied-sr-denoise-platform/results/mc_g105_capture_frames/morning/cloudy/building/1x/frame_4352.png,morning/cloudy/building/1x/frame_4352.png,morning,cloudy,building,outdoor,1x,frame_4352,4352,morning/cloudy/building/1x,1920,1080,134.94468688964844,137.04531860351562,136.12083435058594,57.13682174682617,54.86742401123047,54.7191162109375,136.26361083984375,55.45024108886719,126.98296356201172,127.90725708007812,3.5253310203552246,2.311967611312866,-2.1006317138671875,-0.9244842529296875,1.0155666054493748,1.0067916366406997,1.5125579833984375,0.011100234046167876,1.4101065397262573,0.0640750385802469,300.20050048828125,0.04149594907407408,6.349987983703613,0.0,0,3.375771604938272e-06,0.002752700617283951,6.655092592592593e-05,0.005610532407407408,0.004826388888888889,0.0028448109567901234,0.0008516589506172839,0.8095865785379452,143.6754150390625,128.41226196289062,1.1188605490161225,1.0144122625595742,1.0091924220350084,50,20.02492904663086,16.050220489501953,42.17255325317383,92.27474975585938,1.2244707345962524,4.50836181640625,-4.4766082763671875,0.0025905370712280273,0.004449248313903809,0.47027587890625,0.026494015008211136,312.75732421875,0.8966657279211984,False,False,True,True,0,0,0,0.0,0.0,0.0,,,,,
/home/jshong/Code/unfied-sr-denoise-platform/results/mc_g105_capture_frames/morning/cloudy/building/1x/frame_4353.png,morning/cloudy/building/1x/frame_4353.png,morning,cloudy,building,outdoor,1x,frame_4353,4353,morning/cloudy/building/1x,1920,1080,134.50706481933594,136.59043884277344,135.66688537597656,57.146419525146484,54.845516204833984,54.69513702392578,135.81459045410156,55.43779373168945,126.99195098876953,127.90472412109375,3.529585838317871,2.3302431106567383,-2.0833740234375,-0.923553466796875,1.0154889485600391,1.0068075010156672,1.5034637451171875,0.01106997215115345,1.3964667320251465,0.06146701388888889,288.76641845703125,0.04182002314814815,6.336071014404297,0.0,0,1.4467592592592592e-06,0.002447916666666667,6.317515432098766e-05,0.0054417438271604935,0.00466724537037037,0.002677469135802469,0.0007339891975308642,0.812771296667249,143.1861114501953,127.97844696044922,1.1188298790312405,1.014269458333356,1.0093577875752724,50,20.02492904663086,16.050220489501953,42.17255325317383,92.27474975585938,1.2244707345962524,4.50836181640625,-4.4766082763671875,0.0025905370712280273,0.004449248313903809,0.47027587890625,0.026494015008211136,312.75732421875,0.8966657279211984,False,False,True,True,0,0,0,0.0,0.0,0.0,,,,,
/home/jshong/Code/unfied-sr-denoise-platform/results/mc_g105_capture_frames/morning/cloudy/building/1x/frame_4354.png,morning/cloudy/building/1x/frame_4354.png,morning,cloudy,building,outdoor,1x,frame_4354,4354,morning/cloudy/building/1x,1920,1080,134.3149871826172,136.37933349609375,135.48355102539062,57.09331512451172,54.78679656982422,54.62298583984375,135.61219787597656,55.37741470336914,127.00017547607422,127.91442108154297,3.5326266288757324,2.3480634689331055,-2.0643463134765625,-0.895782470703125,1.0153694337572352,1.0066117359436757,1.4800643920898438,0.010913947302362002,1.3937183618545532,0.05962094907407407,273.1925964355469,0.04153404706790124,6.27610445022583,0.0,0,3.375771604938272e-06,0.002515432098765432,5.8834876543209875e-05,0.00546875,0.004730420524691358,0.0026745756172839507,0.0007330246913580247,0.8152830670442259,143.02810668945312,127.7110366821289,1.1199353578619273,1.01409135183133,1.0092193068926183,50,20.02492904663086,16.050220489501953,42.17255325317383,92.27474975585938,1.2244707345962524,4.50836181640625,-4.4766082763671875,0.0025905370712280273,0.004449248313903809,0.47027587890625,0.026494015008211136,312.75732421875,0.8966657279211984,False,False,True,True,0,0,0,0.0,0.0,0.0,,,,,
/home/jshong/Code/unfied-sr-denoise-platform/results/mc_g105_capture_frames/morning/cloudy/building/1x/frame_4355.png,morning/cloudy/building/1x/frame_4355.png,morning,cloudy,building,outdoor,1x,frame_4355,4355,morning/cloudy/building/1x,1920,1080,134.26715087890625,136.32960510253906,135.44155883789062,57.13446044921875,54.827510833740234,54.66221618652344,135.56394958496094,55.41880416870117,127.0007553100586,127.91756439208984,3.527597427368164,2.341672658920288,-2.0624542236328125,-0.8880462646484375,1.0153608175549365,1.0065566674343631,1.475250244140625,0.010882319656331149,1.3798913955688477,0.0637794174382716,272.9193115234375,0.04194492669753087,6.297178268432617,0.0,0,7.71604938271605e-06,0.0026572145061728395,6.944444444444444e-05,0.005514081790123457,0.004796971450617284,0.0027445023148148146,0.0007981288580246914,0.8152638836129898,142.9847869873047,127.62718200683594,1.1203317633332561,1.0140798426350195,1.0091808931124098,50,20.02492904663086,16.050220489501953,42.17255325317383,92.27474975585938,1.2244707345962524,4.50836181640625,-4.4766082763671875,0.0025905370712280273,0.004449248313903809,0.47027587890625,0.026494015008211136,312.75732421875,0.8966657279211984,False,False,True,True,0,0,0,0.0,0.0,0.0,,,,,
/home/jshong/Code/unfied-sr-denoise-platform/results/mc_g105_capture_frames/morning/cloudy/building/1x/frame_4356.png,morning/cloudy/building/1x/frame_4356.png,morning,cloudy,building,outdoor,1x,frame_4356,4356,morning/cloudy/building/1x,1920,1080,134.37464904785156,136.42501831054688,135.55657958984375,57.090023040771484,54.80345153808594,54.61068344116211,135.6663360595703,55.38563919067383,127.004638671875,127.92450714111328,3.5205142498016357,2.33594012260437,-2.0503692626953125,-0.868438720703125,1.015258594250963,1.0064064593317736,1.4594039916992188,0.010757303715352783,1.3727368116378784,0.0632566550925926,283.7459411621094,0.04190345293209877,6.26725959777832,0.0,0,5.787037037037037e-06,0.0030478395061728394,6.413966049382716e-05,0.00560474537037037,0.0048823302469135806,0.0031510416666666666,0.0008458719135802469,0.8140406797176201,143.17178344726562,127.6327133178711,1.1217483245768343,1.0139773772918808,1.0089563933817762,50,20.02492904663086,16.050220489501953,42.17255325317383,92.27474975585938,1.2244707345962524,4.50836181640625,-4.4766082763671875,0.0025905370712280273,0.004449248313903809,0.47027587890625,0.026494015008211136,312.75732421875,0.8966657279211984,False,False,True,True,0,0,0,0.0,0.0,0.0,,,,,
/home/jshong/Code/unfied-sr-denoise-platform/results/mc_g105_capture_frames/morning/cloudy/building/1x/frame_4357.png,morning/cloudy/building/1x/frame_4357.png,morning,cloudy,building,outdoor,1x,frame_4357,4357,morning/cloudy/building/1x,1920,1080,134.25927734375,136.31805419921875,135.44265747070312,56.96993637084961,54.6884765625,54.49597930908203,135.55564880371094,55.27046585083008,127.00113677978516,127.923095703125,3.5074453353881836,2.3201003074645996,-2.05877685546875,-0.875396728515625,1.0153343283299765,1.0064632202173216,1.4670867919921875,0.010822763891557289,1.3691892623901367,0.061841724537037034,278.39862060546875,0.041942515432098766,6.299440860748291,0.0,0,4.340277777777778e-06,0.0028896604938271606,6.703317901234568e-05,0.005620659722222222,0.004878954475308642,0.0029851466049382715,0.0007474922839506172,0.8126501360933499,143.01370239257812,127.64143371582031,1.1204332097252157,1.014041150139008,1.0089235978634554,50,20.02492904663086,16.050220489501953,42.17255325317383,92.27474975585938,1.2244707345962524,4.50836181640625,-4.4766082763671875,0.0025905370712280273,0.004449248313903809,0.47027587890625,0.026494015008211136,312.75732421875,0.8966657279211984,False,False,True,True,0,0,0,0.0,0.0,0.0,,,,,
/home/jshong/Code/unfied-sr-denoise-platform/results/mc_g105_capture_frames/morning/cloudy/building/1x/frame_4358.png,morning/cloudy/building/1x/frame_4358.png,morning,cloudy,building,outdoor,1x,frame_4358,4358,morning/cloudy/building/1x,1920,1080,134.2960662841797,136.34701538085938,135.4776153564453,56.994171142578125,54.72271728515625,54.528499603271484,135.5875244140625,55.301883697509766,127.00399017333984,127.92497253417969,3.5003678798675537,2.321373224258423,-2.0509490966796875,-0.8694000244140625,1.0152718403312566,1.0064172890533196,1.460174560546875,0.010769239692868032,1.3568838834762573,0.06455295138888889,274.9779968261719,0.04201919367283951,6.291991710662842,0.0,0,1.4467592592592592e-06,0.002863618827160494,6.558641975308642e-05,0.00552758487654321,0.0048090277777777775,0.0029239004629629628,0.0007426697530864198,0.8120871396134117,143.01168823242188,127.70137786865234,1.1198914960778692,1.013957979423549,1.0088787360069345,50,20.02492904663086,16.050220489501953,42.17255325317383,92.27474975585938,1.2244707345962524,4.50836181640625,-4.4766082763671875,0.0025905370712280273,0.004449248313903809,0.47027587890625,0.026494015008211136,312.75732421875,0.8966657279211984,False,False,True,True,0,0,0,0.0,0.0,0.0,,,,,
/home/jshong/Code/unfied-sr-denoise-platform/results/mc_g105_capture_frames/morning/cloudy/building/1x/frame_4359.png,morning/cloudy/building/1x/frame_4359.png,morning,cloudy,building,outdoor,1x,frame_4359,4359,morning/cloudy/building/1x,1920,1080,134.3019256591797,136.34767150878906,135.48390197753906,57.077213287353516,54.81202697753906,54.61357116699219,135.59066772460938,55.38945007324219,127.0057601928711,127.92707824707031,3.4957122802734375,2.323756217956543,-2.045745849609375,-0.86376953125,1.0152324311385412,1.006375432891044,1.4547576904296875,0.010729039867664969,1.3475148677825928,0.0673509837962963,286.75762939453125,0.04225212191358025,6.30742073059082,0.0,0,2.8935185185185184e-06,0.0029914158950617286,6.558641975308642e-05,0.005614390432098765,0.004891010802469136,0.0030261381172839506,0.0008666087962962963,0.8119142638205494,142.97457885742188,127.72335815429688,1.1194082257474978,1.0139200623731806,1.0088686600460777,50,20.02492904663086,16.050220489501953,42.17255325317383,92.27474975585938,1.2244707345962524,4.50836181640625,-4.4766082763671875,0.0025905370712280273,0.004449248313903809,0.47027587890625,0.026494015008211136,312.75732421875,0.8966657279211984,False,False,True,True,0,0,0,0.0,0.0,0.0,,,,,
/home/jshong/Code/unfied-sr-denoise-platform/results/mc_g105_capture_frames/morning/cloudy/building/1x/frame_4360.png,morning/cloudy/building/1x/frame_4360.png,morning,cloudy,building,outdoor,1x,frame_4360,4360,morning/cloudy/building/1x,1920,1080,134.26104736328125,136.28982543945312,135.4370880126953,57.14921951293945,54.9024658203125,54.688899993896484,135.5387725830078,55.472434997558594,127.01445770263672,127.92953491210938,3.5044260025024414,2.3286964893341064,-2.028778076171875,-0.8527374267578125,1.0151106899648397,1.00629618100163,1.4407577514648438,0.010629856781037514,1.3670018911361694,0.06982494212962963,306.7364501953125,0.043032889660493824,6.354825019836426,0.0,0,2.4112654320987654e-06,0.0030285493827160496,6.26929012345679e-05,0.005674189814814815,0.004960455246913581,0.0031100501543209875,0.0008704668209876543,0.8114251424574799,142.89122009277344,127.69053649902344,1.119043140482248,1.0137398611317738,1.0088636047265647,50,20.02492904663086,16.050220489501953,42.17255325317383,92.27474975585938,1.2244707345962524,4.50836181640625,-4.4766082763671875,0.0025905370712280273,0.004449248313903809,0.47027587890625,0.026494015008211136,312.75732421875,0.8966657279211984,False,False,True,True,0,0,0,0.0,0.0,0.0,,,,,
