time_label,zoom_label,mean_r,mean_g,mean_b,std_r,std_g,std_b,mean_y,std_y,tint_rg,tint_bg,edge_density,high_freq_energy,dark_region_ratio,dark_noise_std,hot_pixel_ratio,hot_pixel_count,temporal_noise
day,1x,108.7703358968099,110.44054158528645,108.12193806966145,68.71813583374023,67.65136235555013,69.85864130655925,109.65399831136068,68.00820744832357,-1.6702056884765626,-2.318603515625,0.06678816229423869,328.9446716308594,0.13490280992798354,11.534134674072266,0.00020116383744855966,417.1333333333333,1.4202998677889507
day,2x,111.24341532389323,112.3437978108724,110.07990264892578,67.04668706258138,66.26270853678385,68.39359054565429,111.75280965169271,66.55781606038411,-1.1003824869791667,-2.2638951619466146,0.10011586934156379,679.1793324788412,0.17603276105967078,12.638841374715168,0.00016358024691358024,339.2,1.7308622598648071
day,3x,115.73538462320964,116.7916025797526,115.7711166381836,56.33509750366211,55.13009185791016,55.996725972493486,116.37242126464844,55.46504262288411,-1.0562179565429688,-1.0204859415690104,0.08622193287037037,402.26344299316406,0.08481941229423869,11.641435623168945,0.00013313400205761317,276.06666666666666,1.982899248600006
day,4x,116.55718078613282,117.67297719319662,117.05302124023437,53.45048497517904,51.870094807942706,52.45758183797201,117.27321268717448,52.22393010457357,-1.115796407063802,-0.6199559529622396,0.08802501286008231,478.8076807657878,0.10243242026748972,12.982325172424316,0.0001754758230452675,363.8666666666667,2.3518179456392923
day,5x,113.67967936197917,115.65261789957682,115.10089518229167,54.51863327026367,52.42823155721029,52.64066721598307,114.99941711425781,52.81676076253255,-1.9729385375976562,-0.5517227172851562,0.0873239776234568,519.9568201700846,0.09455857767489713,10.963776397705079,0.00016714891975308643,346.6,4.2117669979731245
day,6x,114.71809387207031,117.24366556803385,116.8460474650065,54.688916269938154,52.033059946695964,52.20774841308594,116.44603525797525,52.54436518351237,-2.5255716959635417,-0.39761810302734374,0.06302989969135803,335.8117696126302,0.08090985082304526,11.47206261952718,0.00010413451646090535,215.93333333333334,4.886784791946411
day,7x,114.03569869995117,119.39954223632813,120.6881706237793,56.44549713134766,51.695306396484376,49.65912780761719,117.94925842285156,52.57452735900879,-5.363843536376953,1.288628387451172,0.10596918402777777,639.234801864624,0.03455164930555556,8.723247313499451,2.961033950617284e-05,61.4,8.315174460411072
night,1x,91.38440170288087,92.72708663940429,91.26736526489258,55.87601661682129,55.95330696105957,56.12968368530274,92.15185546875,55.723659896850585,-1.3426849365234375,-1.4597213745117188,0.03986665702160494,215.66789321899415,0.1211307388117284,12.287221336364746,9.736689814814816e-05,201.9,1.9419240951538086
night,2x,90.16519088745117,92.08904113769532,90.37043609619141,51.32986640930176,50.847821426391604,50.19154663085938,91.31777420043946,50.621552276611325,-1.9238502502441406,-1.7186050415039062,0.047347511574074075,186.71314086914063,0.11438011188271605,10.827302169799804,6.298225308641976e-05,130.6,2.373500645160675
night,3x,85.46312408447265,88.50343246459961,87.57339859008789,52.536642456054686,52.1544807434082,51.03456802368164,87.49018630981445,51.89929542541504,-3.040308380126953,-0.9300338745117187,0.06013474151234568,209.98136367797852,0.13054152199074073,8.29217700958252,7.38329475308642e-05,153.1,2.455823540687561
night,4x,83.64885940551758,88.02752151489258,85.45448303222656,47.5855411529541,47.35832901000977,45.880622482299806,86.4281852722168,46.926068496704104,-4.378662109375,-2.5730384826660155,0.053651861496913575,160.1635971069336,0.10551171875000001,9.49260311126709,3.559027777777778e-05,73.8,2.0047351121902466
night,5x,84.79025039672851,88.0419319152832,84.7017822265625,43.045331192016604,42.967980194091794,41.56713371276855,86.6905303955078,42.507433319091795,-3.2516815185546877,-3.340149688720703,0.05564400077160494,151.76887168884278,0.09208198302469137,9.654930114746094,3.915895061728395e-05,81.2,2.1181125044822693
night,6x,83.24875411987304,87.32291564941406,82.12219772338867,41.878242111206056,41.751624298095706,40.537699127197264,85.51444549560547,41.26410675048828,-4.074161529541016,-5.200717926025391,0.028405623070987658,68.47735023498535,0.0850955825617284,10.224179363250732,1.3695987654320987e-05,28.4,1.5855583548545837
night,7x,83.97815856933593,86.89400482177734,83.99063415527344,41.677589416503906,41.51023406982422,40.702365493774415,85.69284057617188,41.1682846069336,-2.915846252441406,-2.903370666503906,0.009470293209876543,43.181857681274415,0.08588001543209876,10.00915994644165,5.787037037037037e-07,1.2,1.5402376651763916
