epoch,train_loss,val_loss,psnr,ssim,lpips,niqe,lr
1,0.0994376990755886,0.10922338102012873,23.993215713500977,0.6632495177432222,0.5060628037154674,6.980678780762235,5e-05
2,0.09938939080030228,0.10932632381096483,23.956644134521483,0.66314163221204,0.5057734115421773,7.034978359612169,4.998768868112501e-05
3,0.09936624507535288,0.10907565267756582,24.004569864273073,0.6630062116398382,0.500411926060915,6.885184960722541,4.995076687428538e-05
4,0.0992886888556422,0.10907311452552676,24.010412292480467,0.6623217540451233,0.5014157676696778,6.905572652989281,4.988927101684685e-05
5,0.09957885445533449,0.10909276101738215,24.007998514175416,0.6624934597653686,0.49784752443432806,7.0530589047069805,4.9803261797796235e-05
6,0.09923312193493018,0.10904155803844333,23.99015525817871,0.6627978091501481,0.5012126924097537,6.854782107834,4.9692824097848696e-05
7,0.09921359245709584,0.10906948441639543,23.977109813690184,0.6633455347122105,0.4993846517801285,6.866479897627202,4.955806690568079e-05
8,0.09910543949826753,0.10901313407346606,24.007379951477052,0.6624340553378889,0.4997843050956726,6.822774707384329,4.9399123210371755e-05
9,0.09907562737488637,0.1089876938611269,23.980729312896727,0.6635390841137511,0.5007375179231167,7.011055691930315,4.921614987015935e-05
10,0.09891061725559863,0.10917338572442531,24.020173492431642,0.6610802054807161,0.49807120755314827,7.038937904491769,4.900932745763974e-05
11,0.09927593163039199,0.1092499572597444,24.011115436553954,0.6604791540189676,0.4960597276687622,6.943376338820632,4.877886008156409e-05
12,0.09906059093944511,0.10912951020523906,23.946091232299803,0.663685212701101,0.5039195637404918,7.022616841331734,4.8524975185407935e-05
13,0.09918113625615516,0.10899114614352584,24.018772315979003,0.6620500791602895,0.49867903381586076,7.029446045708568,4.824792332291188e-05
