epoch,train_loss,val_loss,psnr,ssim,lpips,niqe,lr
1,0.0991973435649505,0.11000148309394717,23.990348377227782,0.6579219527161936,0.48933737486600876,6.282236528447669,5e-05
2,0.09951143704163723,0.10984589779749512,23.943120098114015,0.6611391951557098,0.49703610822558403,6.5277087098860385,4.986332128943842e-05
3,0.09968435500676816,0.10982607662677765,23.98756229400635,0.6594123355877589,0.4897652857005596,6.496562675429143,4.9454782638308454e-05
4,0.09933939828322484,0.10967941738665105,23.955548620224,0.6615490515142178,0.4947850187122822,6.565148544188726,4.877886008156409e-05
5,0.09904726476241381,0.10950661271810531,24.003031425476074,0.6607157394417872,0.4880517441034317,6.544528781026241,4.784295916818289e-05
6,0.09897645780673393,0.10956581443548202,23.975110960006713,0.6617988958444855,0.491976652443409,6.611059352308104,4.665733382442175e-05
7,0.09912567769105618,0.10944411559030413,23.985447540283204,0.6615185180085408,0.4911637549102306,6.564625394310656,4.523497400965494e-05
8,0.09917018600763419,0.1094429468549788,23.989100341796874,0.6617994771710652,0.49171305671334264,6.606217778228443,4.3591463395660985e-05
9,0.09958933049287551,0.10973229367285967,23.987895860671998,0.6600940613768264,0.4939759886264801,6.611473553237198,4.174480862865351e-05
10,0.09925825603497335,0.10954369531944394,23.953624095916748,0.6621202476762356,0.4959318819642067,6.632986277704131,3.97152420446972e-05
11,0.0987768625983825,0.10957791594788432,23.996875801086425,0.6606346098077043,0.4921296563744545,6.56146760306729,3.7525e-05
12,0.098914873561798,0.10946367347612977,23.968568677902223,0.6619820604830295,0.4945447526872158,6.603147048371803,3.519807924474122e-05
13,0.09901716025211872,0.10946680292487145,23.974647016525267,0.6618430373126476,0.4943852072954178,6.591427030668402,3.275997400965494e-05
14,0.09918678548091497,0.1096912064962089,23.945620012283324,0.6610957890757331,0.4960380305349827,6.443322204517629,3.023739668590309e-05
15,0.09894456190940662,0.10993021795526146,23.886534767150877,0.6617117559625291,0.4996137537062168,6.60183599949702,2.7657985158527956e-05
1,0.09978056198511369,0.10954961629584431,23.977103996276856,0.6614660174307042,0.4893192385137081,6.456946612815815,1e-05
2,0.09978587757318448,0.10962628401815891,23.967161540985106,0.6611782921223491,0.4901714363694191,6.474233893601754,9.972883382072953e-06
3,0.09975407081536758,0.10963481886312365,23.96119941711426,0.6615381370740947,0.4894271631538868,6.464999227505664,9.891830623632339e-06
4,0.09879669466843972,0.10958079122006893,23.96818838119507,0.6616663615999879,0.49112698197364807,6.54516474591824,9.757729755661012e-06
5,0.09975246366782066,0.10957841491326689,23.965971097946166,0.6614968997348363,0.49199163749814034,6.489085626559795,9.572050015330875e-06
6,0.09936517786521178,0.10948263071477413,23.991774616241454,0.6613175997626992,0.4898648099601269,6.542124482324229,9.336825748732975e-06
7,0.09982018168920126,0.10946955917403102,23.980278072357176,0.66168770837793,0.49127923250198363,6.542038501416125,9.054634122155993e-06
8,0.09967701366314521,0.1094375047646463,23.988389501571657,0.6615451117121306,0.4896981072425842,6.542990950972394,8.728566886113104e-06
9,0.09937273198977495,0.10947315702214837,23.980429258346557,0.6616842955371567,0.49037206783890724,6.543756417202125,8.362196501476351e-06
10,0.09951022584468891,0.10951223516836762,24.00184097290039,0.6606247131420027,0.4881554563343525,6.494179771676811,7.959536998847744e-06
11,0.09937089868845084,0.1096277442574501,24.00073377609253,0.659977195727369,0.4877937716245651,6.484724812877798,7.525000000000001e-06
12,0.09955306473450783,0.1095940645225346,23.992993068695068,0.6602637920468986,0.4884777802228928,6.416656530661297,7.0633463832252125e-06
13,0.09974267616485938,0.1095104687847197,23.98874342918396,0.6609711713227735,0.4889241234958172,6.487561308357173,6.579634122155991e-06
14,0.09992503103537437,0.10948294375091791,23.99399589538574,0.6609536219762154,0.4891329443454742,6.515572427575536,6.079162869547909e-06
15,0.09977867343486883,0.10947287075221539,23.991724996566774,0.661099156972809,0.489106714874506,6.565370515782803,5.567415893174886e-06
16,0.09937567917200235,0.10944378370419144,23.989273729324342,0.6613131129127217,0.48994271472096446,6.524993186032637,5.0500000000000025e-06
17,0.09945304676508292,0.10942736655473709,23.98193775177002,0.6618124155709032,0.4908354951441288,6.5354610043827215,4.532584106825117e-06
18,0.0990792894974733,0.10947700681164861,23.97351375579834,0.6616919476526435,0.4909200842678547,6.541249556111021,4.0208371304520915e-06
