burst_id,time_label,weather_label,scene_label,scene_kind,zoom_label,frame_count,width,height,burst_temporal_noise_mean,burst_temporal_noise_median,burst_temporal_noise_p90,burst_temporal_noise_max,burst_mean_y_std,burst_mean_y_range,burst_mean_y_drift,burst_g_over_r_range,burst_g_over_b_range,burst_green_excess_range,burst_edge_density_range,burst_high_freq_range,burst_high_freq_rel_range,unstable_luma,unstable_color,unstable_detail,unstable_auto,hot_persistence_count_25,hot_persistence_count_50,hot_persistence_count_75,hot_persistence_ratio_25,hot_persistence_ratio_50,hot_persistence_ratio_75,map_temporal_std,map_hot_persistence,map_hot_fixed_mask,map_flat_shading,map_flat_green_excess
afternoon/sunny/building/1x,afternoon,sunny,building,outdoor,1x,50,1920,1080,4.068566799163818,2.4903013706207275,7.402702808380127,90.97187042236328,0.16169840097427368,0.5244903564453125,0.41412353515625,0.0018013715744018555,0.003626108169555664,0.36635589599609375,0.0025646239519119263,75.10760498046875,0.12959911090152848,False,False,False,False,0,0,0,0.0,0.0,0.0,/home/jshong/Code/unfied-sr-denoise-platform/results/mc_g105_analysis/all/maps/afternoon_sunny_building_1x_temporal_std.png,/home/jshong/Code/unfied-sr-denoise-platform/results/mc_g105_analysis/all/maps/afternoon_sunny_building_1x_hot_persistence.png,,,
afternoon/sunny/building/3x,afternoon,sunny,building,outdoor,3x,50,1920,1080,4.747410297393799,2.4040799140930176,10.638345718383789,92.39423370361328,0.4398875832557678,1.838531494140625,1.0614776611328125,0.0016106367111206055,0.0025055408477783203,0.21274566650390625,0.006115935742855072,195.8445587158203,0.6089043822062253,False,False,True,True,0,0,0,0.0,0.0,0.0,/home/jshong/Code/unfied-sr-denoise-platform/results/mc_g105_analysis/all/maps/afternoon_sunny_building_3x_temporal_std.png,/home/jshong/Code/unfied-sr-denoise-platform/results/mc_g105_analysis/all/maps/afternoon_sunny_building_3x_hot_persistence.png,,,
afternoon/sunny/building/5x,afternoon,sunny,building,outdoor,5x,50,1920,1080,5.973609447479248,3.634061336517334,11.773293972015399,95.17415618896484,2.6161231994628906,10.52490234375,10.2529296875,0.0038982629776000977,0.003395557403564453,0.3470726013183594,0.013235917314887047,206.66876220703125,0.9738878461629543,False,False,True,True,0,0,0,0.0,0.0,0.0,/home/jshong/Code/unfied-sr-denoise-platform/results/mc_g105_analysis/all/maps/afternoon_sunny_building_5x_temporal_std.png,/home/jshong/Code/unfied-sr-denoise-platform/results/mc_g105_analysis/all/maps/afternoon_sunny_building_5x_hot_persistence.png,,,
afternoon/sunny/building/7x,afternoon,sunny,building,outdoor,7x,50,1920,1080,4.667242050170898,2.9895811080932617,8.948218059539805,86.51589965820312,0.9286836981773376,3.7707672119140625,3.7707672119140625,0.008481979370117188,0.004748225212097168,0.5509490966796875,0.012300829403102398,161.56988525390625,1.445470117155364,False,False,True,True,0,0,0,0.0,0.0,0.0,/home/jshong/Code/unfied-sr-denoise-platform/results/mc_g105_analysis/all/maps/afternoon_sunny_building_7x_temporal_std.png,/home/jshong/Code/unfied-sr-denoise-platform/results/mc_g105_analysis/all/maps/afternoon_sunny_building_7x_hot_persistence.png,,,
afternoon/sunny/mixed/1x,afternoon,sunny,mixed,outdoor,1x,50,1920,1080,7.513947486877441,5.375350475311279,15.45819683074952,103.6407241821289,0.06285155564546585,0.2812347412109375,-0.1082611083984375,0.008859753608703613,0.0018602609634399414,0.654815673828125,0.00803675502538681,548.20751953125,0.33527098833057906,False,False,False,False,0,0,0,0.0,0.0,0.0,/home/jshong/Code/unfied-sr-denoise-platform/results/mc_g105_analysis/all/maps/afternoon_sunny_mixed_1x_temporal_std.png,/home/jshong/Code/unfied-sr-denoise-platform/results/mc_g105_analysis/all/maps/afternoon_sunny_mixed_1x_hot_persistence.png,,,
afternoon/sunny/mixed/3x,afternoon,sunny,mixed,outdoor,3x,50,1920,1080,11.109549522399902,5.703647613525391,30.754839134216343,110.42051696777344,0.32163047790527344,1.4158554077148438,1.1190338134765625,0.0019714832305908203,0.009369254112243652,0.6158523559570312,0.01105710119009018,557.2915649414062,0.5107356872766662,False,False,True,True,0,0,0,0.0,0.0,0.0,/home/jshong/Code/unfied-sr-denoise-platform/results/mc_g105_analysis/all/maps/afternoon_sunny_mixed_3x_temporal_std.png,/home/jshong/Code/unfied-sr-denoise-platform/results/mc_g105_analysis/all/maps/afternoon_sunny_mixed_3x_hot_persistence.png,,,
afternoon/sunny/mixed/5x,afternoon,sunny,mixed,outdoor,5x,50,1920,1080,10.776869773864746,7.189575672149658,26.167499351501473,102.66456604003906,1.5608506202697754,6.1558990478515625,5.8326416015625,0.003262162208557129,0.01514500379562378,1.4729728698730469,0.0554470494389534,486.2017517089844,0.9286784151220557,False,False,True,True,0,0,0,0.0,0.0,0.0,/home/jshong/Code/unfied-sr-denoise-platform/results/mc_g105_analysis/all/maps/afternoon_sunny_mixed_5x_temporal_std.png,/home/jshong/Code/unfied-sr-denoise-platform/results/mc_g105_analysis/all/maps/afternoon_sunny_mixed_5x_hot_persistence.png,,,
afternoon/sunny/mixed/7x,afternoon,sunny,mixed,outdoor,7x,50,1920,1080,8.917441368103027,6.8869733810424805,14.287673091888427,95.23092651367188,2.013101100921631,6.1538848876953125,-6.14056396484375,0.01288902759552002,0.004563271999359131,0.8393020629882812,0.08558738976716995,550.259521484375,1.4650624064164433,False,False,True,True,0,0,0,0.0,0.0,0.0,/home/jshong/Code/unfied-sr-denoise-platform/results/mc_g105_analysis/all/maps/afternoon_sunny_mixed_7x_temporal_std.png,/home/jshong/Code/unfied-sr-denoise-platform/results/mc_g105_analysis/all/maps/afternoon_sunny_mixed_7x_hot_persistence.png,,,
afternoon/sunny/road_shaded/1x,afternoon,sunny,road_shaded,outdoor,1x,100,1920,1080,38.94807052612305,35.63663864135742,70.61945571899416,122.53327178955078,0.8895218968391418,3.7561492919921875,1.5078582763671875,0.007340073585510254,0.004840373992919922,0.6170425415039062,0.05265575647354126,1528.2757568359375,0.7021684285465496,False,False,True,True,0,0,0,0.0,0.0,0.0,/home/jshong/Code/unfied-sr-denoise-platform/results/mc_g105_analysis/all/maps/afternoon_sunny_road_shaded_1x_temporal_std.png,/home/jshong/Code/unfied-sr-denoise-platform/results/mc_g105_analysis/all/maps/afternoon_sunny_road_shaded_1x_hot_persistence.png,,,
afternoon/sunny/road_shaded/3x,afternoon,sunny,road_shaded,outdoor,3x,100,1920,1080,44.90868377685547,43.75989532470703,74.76309661865236,123.52642822265625,2.476118564605713,5.385978698730469,5.238533020019531,0.03548085689544678,0.034769535064697266,4.111366271972656,0.08334057033061981,988.2914428710938,0.688692183488829,False,False,True,True,0,0,0,0.0,0.0,0.0,/home/jshong/Code/unfied-sr-denoise-platform/results/mc_g105_analysis/all/maps/afternoon_sunny_road_shaded_3x_temporal_std.png,/home/jshong/Code/unfied-sr-denoise-platform/results/mc_g105_analysis/all/maps/afternoon_sunny_road_shaded_3x_hot_persistence.png,,,
