epoch,train_loss,val_loss,psnr,ssim,lpips,niqe,lr
1,0.13439566751235518,0.16167614068146105,22.40885625768591,0.5990106808603183,0.6991950527385429,5.663643403117725,5e-05
2,0.13229465086398454,0.1601235599981414,22.432416901765045,0.5842697107423213,0.7391501501754478,6.404672814353384,4.998768868112501e-05
3,0.13221799017026506,0.15909735952262524,22.382418583057547,0.5723824042632962,0.7446901999138019,7.293591338841513,4.995076687428538e-05
4,0.13125054127183453,0.1580513749409605,22.4179261525472,0.571785597773546,0.7568461223884865,8.076763613708092,4.988927101684685e-05
5,0.1308614720172923,0.1578562668076268,22.417143207126195,0.5785077014032453,0.7297625144322714,8.321199094275366,4.9803261797796235e-05
6,0.12965002527524686,0.1575079102207113,22.350431837858977,0.550570582302695,0.786457477454786,9.707801852090318,4.9692824097848696e-05
7,0.12990425064645963,0.15718809642173626,22.372836331967953,0.5641951340459941,0.7589134052947716,9.06379157496707,4.955806690568079e-05
8,0.129615460811504,0.1573007144861751,22.25918775487829,0.5165468803080453,0.8210234840710958,11.138110549119617,4.9399123210371755e-05
9,0.12933009021498007,0.15673211796416175,22.329746020281757,0.5408078258024202,0.8013239396942986,10.380966031418032,4.921614987015935e-05
10,0.13000633618954954,0.15657028953234356,22.28552825362594,0.5348886885042191,0.800019210797769,10.643202912995143,4.900932745763974e-05
11,0.12921378716569523,0.1568808956278695,22.34697649920428,0.5599467719461719,0.7555811566335183,9.606161107236405,4.877886008156409e-05
12,0.12954839081342878,0.1562763281442501,22.356577343410915,0.56166141293172,0.7660581904428977,9.978729090960258,4.8524975185407935e-05
13,0.12808276552321582,0.15667426227419465,22.278733373571324,0.5338243295469721,0.7913410275070756,10.635514177182298,4.824792332291188e-05
14,0.12891320017134322,0.15709609858415746,22.29018194410536,0.5411575538564413,0.778875098405061,10.437837858304555,4.7947977910815334e-05
15,0.12887316216425648,0.15606271343098746,22.30875614307545,0.5424875597789163,0.7861527003623822,10.98306982049607,4.7625434959027196e-05
16,0.12974747488724775,0.15606883742191174,22.375746804696544,0.5725101052892924,0.770097695015095,9.984498698202925,4.7280612778499785e-05
17,0.12826297233073874,0.15672970287225865,22.241887452867296,0.5222359384730119,0.8016548589423851,11.516700633941696,4.69138516670944e-05
18,0.1279255573091836,0.1566260235729041,22.27538409762912,0.5411958224869049,0.7957209860837018,11.782133229335363,4.65255135737484e-05
19,0.12781803213573736,0.15632513485572958,22.419842967280633,0.5786845080484907,0.7412428350360305,9.639438358370617,4.6115981741275285e-05
20,0.1279325807017499,0.15579893936713538,22.329375627305772,0.556215062861861,0.7727166056632996,10.789627998354563,4.568566032815033e-05
21,0.1278843766656415,0.15590467287434473,22.33570697925709,0.5610862625398598,0.7669456530500341,10.613645500492014,4.523497400965495e-05
22,0.12864847635400706,0.15582465297645992,22.366609658135307,0.5683235204951353,0.7512355195151434,10.191534037781791,4.476436755877348e-05
23,0.1285218934946019,0.15580144072020496,22.246054642288772,0.5378099637564369,0.8062691383891636,12.633456470925994,4.4274305407255946e-05
24,0.12763580827620521,0.15613975011640124,22.406201737015337,0.5833993625259316,0.7474153514261599,10.11040342511975,4.3765271187279974e-05
25,0.12741036244250578,0.15594348361094792,22.303272487499097,0.5505193447022306,0.7803519090016683,11.803623750012257,4.323776725416423e-05
26,0.12802298514750496,0.15557352558330254,22.291546136361582,0.5506743454815204,0.782197540336185,12.136546920774792,4.2692314190604364e-05
27,0.1275336575405351,0.15567523936430613,22.28882142526132,0.5477657900072518,0.7853803237279257,12.084183354518322,4.212945029292079e-05
28,0.12740584642722688,0.15612961208378828,22.225470352172852,0.525914142156467,0.8081465646072671,13.167304133687548,4.154973103982512e-05
29,0.1281985578223549,0.1560472795256862,22.268446307712132,0.5431794685871632,0.7795090631202415,11.438540013402427,4.095372854422982e-05
30,0.12698095715765295,0.15587493473732913,22.26954803466797,0.5366902037458063,0.7853613160274647,11.988789081150312,4.0342030988641775e-05
31,0.12730192669249815,0.15539442902361905,22.345804949159977,0.5649070273594375,0.7651414204526831,11.189144279646591,3.971524204469722e-05
32,0.12791601388618865,0.15561794528254755,22.25891246089229,0.5491251633366235,0.7840743214995772,12.12101590201856,3.9073980277410674e-05
33,0.12773669536771445,0.15563074113042266,22.269928769712095,0.5337849175419747,0.7960058022428442,12.725047240636828,3.8418878534725976e-05
34,0.12692566871129232,0.15582962339674986,22.20263673287851,0.5280286365484951,0.8068516161706712,13.428425878188518,3.7750583322971776e-05
35,0.12729343733397022,0.15534699575768576,22.333220757378474,0.5610327552972387,0.7642007430394491,10.873129937353184,3.7069754168837806e-05
36,0.12748140719687118,0.1562133472274851,22.150132737336335,0.5177481482689086,0.8179904831780328,14.730990999000264,3.6377062968501704e-05
37,0.12669564956991836,0.15538263939045094,22.261252000596787,0.5427731409537575,0.7916244599554274,12.249447559419044,3.567319332454857e-05
38,0.12692640336423083,0.1561782525645362,22.202484314529983,0.5181162172305682,0.817553726832072,14.094475605374802,3.495883987133779e-05
39,0.12680000118140516,0.1554954003404688,22.231665561817312,0.5455653207225768,0.7890819249329744,12.491992819413966,3.423470758948273e-05
40,0.12682058719982361,0.1555867346348586,22.235189819335936,0.5310826672098291,0.8005515261932655,13.114134069079268,3.350151111012004e-05
41,0.126926448774235,0.15551060653395124,22.242002896909362,0.5475261651900465,0.7852305275422555,11.970142335046122,3.275997400965495e-05
